Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,53.904,53.803,53.377,24
2,63,George RussellRUS,Mercedes,54.160,53.819,53.403,25
3,33,Max VerstappenVER,Red Bull Racing Honda,54.037,53.647,53.433,17
4,16,Charles LeclercLEC,Ferrari,54.249,53.825,53.613,21
5,11,Sergio PerezPER,Racing Point BWT Mercedes,54.236,53.787,53.790,17
6,26,Daniil KvyatKVY,AlphaTauri Honda,54.346,53.856,53.906,26
7,3,Daniel RicciardoRIC,Renault,54.388,53.871,53.957,15
8,55,Carlos SainzSAI,McLaren Renault,54.450,53.818,54.010,20
9,10,Pierre GaslyGAS,AlphaTauri Honda,54.207,53.941,54.154,28
10,18,Lance StrollSTR,Racing Point BWT Mercedes,54.595,53.840,54.200,19
11,31,Esteban OconOCO,Renault,54.309,53.995,,13
12,23,Alexander AlbonALB,Red Bull Racing Honda,54.620,54.026,,12
13,5,Sebastian VettelVET,Ferrari,54.301,54.175,,17
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,54.523,54.377,,14
15,4,Lando NorrisNOR,McLaren Renault,54.194,54.693,,15
16,20,Kevin MagnussenMAG,Haas Ferrari,54.705,,,9
17,6,Nicholas LatifiLAT,Williams Mercedes,54.796,,,11
18,89,Jack AitkenAIT,Williams Mercedes,54.892,,,9
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,54.963,,,11
20,51,Pietro FittipaldiFIT,Haas Ferrari,55.426,,,11
