Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:18.188,1:17.825,1:19.273,34
2,33,Max VerstappenVER,Red Bull Racing Honda,1:18.297,1:17.938,1:20.489,34
3,55,Carlos SainzSAI,McLaren Renault,1:18.590,1:18.836,1:20.671,33
4,77,Valtteri BottasBOT,Mercedes,1:18.791,1:18.657,1:20.701,34
5,31,Esteban OconOCO,Renault,1:19.687,1:18.764,1:20.922,33
6,4,Lando NorrisNOR,McLaren Renault,1:18.504,1:18.448,1:20.925,34
7,23,Alexander AlbonALB,Red Bull Racing Honda,1:20.882,1:19.014,1:21.011,31
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:20.192,1:18.744,1:21.028,33
9,3,Daniel RicciardoRIC,Renault,1:19.662,1:19.229,1:21.192,32
10,5,Sebastian VettelVET,Ferrari,1:20.243,1:19.545,1:21.651,33
11,16,Charles LeclercLEC,Ferrari,1:20.871,1:19.628,,24
12,63,George RussellRUS,Williams Mercedes,1:20.382,1:19.636,,22
13,18,Lance StrollSTR,Racing Point BWT Mercedes,1:19.697,1:19.645,,23
14,26,Daniil KvyatKVY,AlphaTauri Honda,1:19.824,1:19.717,,24
15,20,Kevin MagnussenMAG,Haas Ferrari,1:21.140,1:20.211,,22
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:21.372,,,12
17,11,Sergio PerezPER,Racing Point BWT Mercedes,1:21.607,,,12
18,6,Nicholas LatifiLAT,Williams Mercedes,1:21.759,,,12
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:21.831,,,12
20,8,Romain GrosjeanGRO,Haas Ferrari,DNS,,,1
