Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:04.111,1:03.015,1:02.939,19
2,44,Lewis HamiltonHAM,Mercedes,1:04.198,1:03.096,1:02.951,21
3,33,Max VerstappenVER,Red Bull Racing Honda,1:04.024,1:04.000,1:03.477,23
4,4,Lando NorrisNOR,McLaren Renault,1:04.606,1:03.819,1:03.626,17
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:04.661,1:03.746,1:03.868,18
6,11,Sergio PerezPER,Racing Point BWT Mercedes,1:04.543,1:03.860,1:03.868,19
7,16,Charles LeclercLEC,Ferrari,1:04.500,1:04.041,1:03.923,20
8,55,Carlos SainzSAI,McLaren Renault,1:04.537,1:03.971,1:03.971,18
9,18,Lance StrollSTR,Racing Point BWT Mercedes,1:04.309,1:03.955,1:04.029,17
10,3,Daniel RicciardoRIC,Renault,1:04.556,1:04.023,1:04.239,15
11,5,Sebastian VettelVET,Ferrari,1:04.554,1:04.206,,13
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:04.603,1:04.305,,14
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:05.031,1:04.431,,14
14,31,Esteban OconOCO,Renault,1:04.933,1:04.643,,12
15,8,Romain GrosjeanGRO,Haas Ferrari,1:05.094,1:04.691,,14
16,20,Kevin MagnussenMAG,Haas Ferrari,1:05.164,,,8
17,63,George RussellRUS,Williams Mercedes,1:05.167,,,10
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:05.175,,,8
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:05.224,,,9
20,6,Nicholas LatifiLAT,Williams Mercedes,1:05.757,,,12
