Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:14.221,1:14.585,1:13.609,22
2,44,Lewis HamiltonHAM,Mercedes,1:14.229,1:14.643,1:13.706,22
3,33,Max VerstappenVER,Red Bull Racing Honda,1:15.034,1:14.974,1:14.176,16
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:15.183,1:14.681,1:14.502,19
5,3,Daniel RicciardoRIC,Renault,1:15.474,1:14.953,1:14.520,18
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:15.402,1:14.745,1:14.572,21
7,16,Charles LeclercLEC,Ferrari,1:15.123,1:15.017,1:14.616,20
8,26,Daniil KvyatKVY,AlphaTauri Honda,1:15.412,1:15.022,1:14.696,21
9,4,Lando NorrisNOR,McLaren Renault,1:15.274,1:15.051,1:14.814,17
10,55,Carlos SainzSAI,McLaren Renault,1:15.528,1:15.027,1:14.911,19
11,11,Sergio PerezPER,Racing Point BWT Mercedes,1:15.407,1:15.061,,16
12,31,Esteban OconOCO,Renault,1:15.352,1:15.201,,14
13,63,George RussellRUS,Williams Mercedes,1:15.760,1:15.323,,18
14,5,Sebastian VettelVET,Ferrari,1:15.571,1:15.385,,20
15,18,Lance StrollSTR,Racing Point BWT Mercedes,1:15.822,1:15.494,,16
16,8,Romain GrosjeanGRO,Haas Ferrari,1:15.918,,,10
17,20,Kevin MagnussenMAG,Haas Ferrari,1:15.939,,,11
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:15.953,,,10
19,6,Nicholas LatifiLAT,Williams Mercedes,1:15.987,,,12
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.208,,,8
