Pos,No,Driver,Car,Laps,Time/retired,Pts
1,77,Valtteri BottasBOT,Mercedes,24,29:09.559,3
2,33,Max VerstappenVER,Red Bull Racing Honda,24,+1.170s,2
3,55,Carlos SainzSAI,Ferrari,24,+18.723s,1
4,11,Sergio PerezPER,Red Bull Racing Honda,24,+19.787s,0
5,44,Lewis HamiltonHAM,Mercedes,24,+20.872s,0
6,4,Lando NorrisNOR,McLaren Mercedes,24,+22.558s,0
7,16,Charles LeclercLEC,Ferrari,24,+25.056s,0
8,10,Pierre GaslyGAS,AlphaTauri Honda,24,+34.158s,0
9,31,Esteban OconOCO,Alpine Renault,24,+34.632s,0
10,5,Sebastian VettelVET,Aston Martin Mercedes,24,+34.867s,0
11,3,Daniel RicciardoRIC,McLaren Mercedes,24,+35.869s,0
12,14,Fernando AlonsoALO,Alpine Renault,24,+36.578s,0
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,24,+41.880s,0
14,18,Lance StrollSTR,Aston Martin Mercedes,24,+44.037s,0
15,22,Yuki TsunodaTSU,AlphaTauri Honda,24,+46.150s,0
16,6,Nicholas LatifiLAT,Williams Mercedes,24,+46.760s,0
17,63,George RussellRUS,Williams Mercedes,24,+47.739s,0
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,24,+50.014s,0
19,47,Mick SchumacherMSC,Haas Ferrari,24,+61.680s,0
20,9,Nikita MazepinMAZ,Haas Ferrari,24,+67.474s,0
