POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,44,Lewis HamiltonHAM,Ferrari,1:31.212,1:31.384,1:30.849,15
2,1,Max VerstappenVER,Red Bull Racing,1:31.916,1:31.521,1:30.867,12
3,81,Oscar PiastriPIA,McLaren,1:31.723,1:31.362,1:30.929,13
4,16,Charles LeclercLEC,Ferrari,1:31.518,1:31.561,1:31.057,15
5,63,George RussellRUS,Mercedes,1:31.952,1:31.346,1:31.169,18
6,4,Lando NorrisNOR,McLaren,1:31.396,1:31.174,1:31.393,13
7,12,Kimi AntonelliANT,Mercedes,1:31.999,1:31.475,1:31.738,17
8,22,Yuki TsunodaTSU,Racing Bulls,1:32.316,1:31.794,1:31.773,12
9,23,Alexander AlbonALB,Williams,1:32.462,1:31.539,1:31.852,14
10,18,Lance StrollSTR,Aston Martin,1:32.327,1:31.742,1:31.982,12
11,14,Fernando AlonsoALO,Aston Martin,1:32.121,1:31.815,,8
12,87,Oliver BearmanBEA,Haas,1:32.269,1:31.978,,9
13,55,Carlos SainzSAI,Williams,1:32.457,1:32.325,,10
14,5,Gabriel BortoletoBOR,Kick Sauber,1:32.539,1:32.564,,12
15,6,Isack HadjarHAD,Racing Bulls,1:32.171,DNF,,8
16,7,Jack DoohanDOO,Alpine,1:32.575,,,6
17,10,Pierre GaslyGAS,Alpine,1:32.640,,,6
18,31,Esteban OconOCO,Haas,1:32.651,,,6
19,27,Nico HulkenbergHUL,Kick Sauber,1:32.675,,,6
20,30,Liam LawsonLAW,Red Bull Racing,1:32.729,,,5
