POS.,NO.,DRIVER,TEAM,Q1,Q2,Q3,LAPS
1,12,Kimi AntonelliANT,Mercedes,1:27.858,1:27.384,1:26.482,15
2,81,Oscar PiastriPIA,McLaren,1:27.951,1:27.354,1:26.527,12
3,4,Lando NorrisNOR,McLaren,1:27.890,1:27.109,1:26.582,14
4,1,Max VerstappenVER,Red Bull Racing,1:27.953,1:27.245,1:26.737,16
5,63,George RussellRUS,Mercedes,1:27.688,1:27.666,1:26.791,15
6,16,Charles LeclercLEC,Ferrari,1:28.325,1:27.467,1:26.808,16
7,44,Lewis HamiltonHAM,Ferrari,1:28.231,1:27.546,1:27.030,15
8,23,Alexander AlbonALB,Williams,1:27.859,1:27.697,1:27.193,15
9,6,Isack HadjarHAD,Racing Bulls,1:28.394,1:27.773,1:27.543,12
10,14,Fernando AlonsoALO,Aston Martin,1:28.455,1:27.766,1:27.790,13
11,27,Nico HulkenbergHUL,Kick Sauber,1:28.542,1:27.850,,9
12,31,Esteban OconOCO,Haas,1:28.303,1:28.070,,9
13,10,Pierre GaslyGAS,Alpine,1:28.345,1:28.167,,9
14,30,Liam LawsonLAW,Racing Bulls,1:28.914,1:28.375,,8
15,55,Carlos SainzSAI,Williams,1:27.899,DNF,,8
16,18,Lance StrollSTR,Aston Martin,1:29.028,,,6
17,7,Jack DoohanDOO,Alpine,1:29.171,,,5
18,22,Yuki TsunodaTSU,Red Bull Racing,1:29.246,,,5
19,5,Gabriel BortoletoBOR,Kick Sauber,1:29.312,,,6
20,87,Oliver BearmanBEA,Haas,1:29.825,,,5
