Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:16.665
2,2,Alain ProstPRO,McLaren Honda,1:17.403
3,23,Pierluigi MartiniMAR,Minardi Ford,1:17.623
4,19,Alessandro NanniniNAN,Benetton Ford,1:17.762
5,5,Thierry BoutsenBOU,Williams Renault,1:17.791
6,6,Riccardo PatresePAT,Williams Renault,1:17.827
7,27,Nigel MansellMAN,Ferrari,1:18.313
8,8,Stefano ModenaMOD,Brabham Judd,1:18.750
9,22,Andrea de CesarisDEC,Dallara Ford,1:18.828
10,21,Alex CaffiCAF,Dallara Ford,1:18.857
11,17,Nicola LariniLAR,Osella Ford,1:19.110
12,7,Martin BrundleBRU,Brabham Judd,1:19.136
13,20,Emanuele PirroPIR,Benetton Ford,1:19.217
14,28,Gerhard BergerBER,Ferrari,1:19.238
15,4,Jean AlesiALE,Tyrrell Ford,1:19.259
16,16,Ivan CapelliCAP,March Judd,1:19.269
17,37,Jyrki JarvilehtoJAR,Onyx Ford,1:19.309
18,11,Nelson PiquetPIQ,Lotus Judd,1:19.392
19,30,Philippe AlliotALL,Lola Lamborghini,1:19.568
20,9,Derek WarwickWAR,Arrows Ford,1:19.599
21,18,Piercarlo GhinzaniGHI,Osella Ford,1:19.691
22,10,Eddie  CheeverCHE,Arrows Ford,1:19.922
23,12,Satoru NakajimaNAK,Lotus Judd,1:20.066
24,26,Olivier GrouillardGRO,Ligier Ford,1:20.073
25,15,Mauricio GugelminGUG,March Judd,1:20.191
26,25,Rene ArnouxARN,Ligier Ford,1:20.391
