Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:33.391,,7
2,8,Fernando AlonsoALO,Renault,1:34.175,+0.784s,12
3,4,Ralf SchumacherRSC,Williams BMW,1:34.239,+0.848s,8
4,2,Rubens BarrichelloBAR,Ferrari,1:34.362,+0.971s,9
5,5,David CoulthardCOU,McLaren Mercedes,1:34.415,+1.024s,9
6,7,Jarno TrulliTRU,Renault,1:34.482,+1.091s,14
7,3,Juan Pablo MontoyaMOY,Williams BMW,1:34.547,+1.156s,12
8,14,Mark WebberWEB,Jaguar Cosworth,1:34.770,+1.379s,5
9,9,Jenson ButtonBUT,BAR Honda,1:34.839,+1.448s,11
10,11,Giancarlo FisichellaFIS,Sauber Petronas,1:35.516,+2.125s,9
11,16,Cristiano da MattaDAM,Toyota,1:35.678,+2.287s,4
12,10,Takuma SatoSAT,BAR Honda,1:35.697,+2.306s,16
13,17,Olivier PanisPAN,Toyota,1:35.697,+2.306s,10
14,12,Felipe MassaMAS,Sauber Petronas,1:35.813,+2.422s,10
15,15,Christian KlienKLI,Jaguar Cosworth,1:36.106,+2.715s,8
16,18,Nick HeidfeldHEI,Jordan Ford,1:37.194,+3.803s,9
17,19,Giorgio PantanoPAN,Jordan Ford,1:38.302,+4.911s,11
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:39.013,+5.622s,13
19,20,Gianmaria BruniBRU,Minardi Cosworth,1:39.209,+5.818s,11
20,6,Kimi RäikkönenRAI,McLaren Mercedes,,,4
