Pos,No,Driver,Car,Laps,Time/retired,Pts
DQ,11,James HuntHUN,McLaren Ford,76,,0
1,1,Niki LaudaLAU,Ferrari,76,1:44:19.660,9
2,3,Jody ScheckterSCH,Tyrrell Ford,76,+16.180s,6
3,28,John WatsonWAT,Penske Ford,75,+1 lap,4
4,16,Tom PrycePRY,Shadow Ford,75,+1 lap,3
5,19,Alan  JonesJON,Surtees Ford,75,+1 lap,2
6,30,Emerson FittipaldiFIT,Fittipaldi Ford,74,+2 laps,1
7,24,Harald ErtlERT,Hesketh Ford,73,+3 laps,0
8,8,Carlos PacePAC,Brabham Alfa Romeo,73,+3 laps,0
9,17,Jean-Pierre JarierJAR,Shadow Ford,70,+6 laps,0
NC,6,Gunnar NilssonNIL,Lotus Ford,67,DNF,0
NC,10,Ronnie PetersonPET,March Ford,60,DNF,0
NC,18,Brett LungerLUN,Surtees Ford,55,DNF,0
NC,4,Patrick DepaillerDEP,Tyrrell Ford,47,DNF,0
NC,7,Carlos ReutemannREU,Brabham Alfa Romeo,46,DNF,0
NC,35,Arturo MerzarioMER,March Ford,39,DNF,0
NC,2,Clay RegazzoniREG,Ferrari,36,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Matra,31,DNF,0
NC,32,Bob EvansEVA,Brabham Alfa Romeo,31,DNF,0
NC,9,Vittorio BrambillaBRA,March Ford,22,DNF,0
NC,38,Henri PescaroloPES,Surtees Ford,16,DNF,0
NC,22,Chris AmonAMO,Ensign Ford,8,DNF,0
NC,5,Mario AndrettiAND,Lotus Ford,4,DNF,0
NC,12,Jochen MassMAS,McLaren Ford,1,DNF,0
NC,34,Hans-Joachim StuckSTU,March Ford,0,DNF,0
NC,25,Guy EdwardsEDW,Hesketh Ford,0,DNF,0
