Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Jody ScheckterSCH,Tyrrell Ford,72,1:46:53.729,9
2,4,Patrick DepaillerDEP,Tyrrell Ford,72,+19.770s,6
3,1,Niki LaudaLAU,Ferrari,72,+33.870s,4
4,26,Jacques LaffiteLAF,Ligier Matra,72,+55.820s,3
5,11,James HuntHUN,McLaren Ford,72,+59.480s,2
6,2,Clay RegazzoniREG,Ferrari,72,+60.370s,1
7,10,Ronnie PetersonPET,March Ford,72,+63.490s,0
8,8,Carlos PacePAC,Brabham Alfa Romeo,72,+71.610s,0
9,16,Tom PrycePRY,Shadow Ford,71,+1 lap,0
10,9,Vittorio BrambillaBRA,March Ford,71,+1 lap,0
11,12,Jochen MassMAS,McLaren Ford,71,+1 lap,0
12,17,Jean-Pierre JarierJAR,Shadow Ford,71,+1 lap,0
13,19,Alan  JonesJON,Surtees Ford,71,+1 lap,0
14,35,Arturo MerzarioMER,March Ford,70,DNF,0
15,18,Brett LungerLUN,Surtees Ford,70,+2 laps,0
NC,24,Harald ErtlERT,Hesketh Ford,54,DNF,0
NC,34,Hans-Joachim StuckSTU,March Ford,52,DNF,0
NC,5,Mario AndrettiAND,Lotus Ford,45,DNF,0
NC,22,Chris AmonAMO,Ensign Ford,38,DNF,0
NC,21,Michel LeclereLEC,Wolf-Williams,20,DNF,0
NC,37,Larry PerkinsPER,Boro Ford,18,DNF,0
NC,30,Emerson FittipaldiFIT,Fittipaldi Ford,10,DNF,0
NC,32,Loris KesselKES,Brabham Ford,5,DNF,0
NC,6,Gunnar NilssonNIL,Lotus Ford,2,DNF,0
NC,7,Carlos ReutemannREU,Brabham Alfa Romeo,2,DNF,0
NC,28,John WatsonWAT,Penske Ford,0,DNF,0
