Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:34.508,,14
2,6,Nico RosbergROS,Mercedes,1:34.736,+0.228s,35
3,14,Fernando AlonsoALO,Ferrari,1:35.244,+0.736s,32
4,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:35.511,+1.003s,11
5,1,Sebastian VettelVET,Red Bull Racing Renault,1:35.627,+1.119s,27
6,77,Valtteri BottasBOT,Williams Mercedes,1:36.016,+1.508s,33
7,22,Jenson ButtonBUT,McLaren Mercedes,1:36.228,+1.720s,34
8,20,Kevin MagnussenMAG,McLaren Mercedes,1:36.299,+1.791s,35
9,7,Kimi RäikkönenRAI,Ferrari,1:36.554,+2.046s,29
10,25,Jean-Eric VergneVER,STR Renault,1:36.583,+2.075s,26
11,19,Felipe MassaMAS,Williams Mercedes,1:36.671,+2.163s,29
12,26,Daniil KvyatKVY,STR Renault,1:36.778,+2.270s,31
13,21,Esteban Gutierrez GUT,Sauber Ferrari,1:36.951,+2.443s,35
14,13,Pastor MaldonadoMAL,Lotus Renault,1:37.064,+2.556s,35
15,8,Romain GrosjeanGRO,Lotus Renault,1:37.097,+2.589s,33
16,11,Sergio PerezPER,Force India Mercedes,1:37.236,+2.728s,37
17,27,Nico HulkenbergHUL,Force India Mercedes,1:37.449,+2.941s,27
18,99,Adrian SutilSUT,Sauber Ferrari,1:37.520,+3.012s,25
19,17,Jules BianchiBIA,Marussia Ferrari,1:38.658,+4.150s,11
20,10,Kamui KobayashiKOB,Caterham Renault,1:39.068,+4.560s,31
21,4,Max ChiltonCHI,Marussia Ferrari,1:39.224,+4.716s,28
22,9,Marcus EricssonERI,Caterham Renault,1:39.762,+5.254s,21
