Pos,No,Driver,Car,Laps,Time/retired,Pts
1,12,Gilles VilleneuveVIL,Ferrari,59,1:52:17.734,9
2,16,Rene ArnouxARN,Renault,59,+48.787s,6
3,3,Didier PironiPIR,Tyrrell Ford,59,+53.199s,4
4,18,Elio de AngelisDEA,Shadow Ford,59,+90.512s,3
5,9,Hans-Joachim StuckSTU,ATS Ford,59,+101.259s,2
6,7,John WatsonWAT,McLaren Ford,58,+1 lap,1
7,14,Emerson FittipaldiFIT,Fittipaldi Ford,54,+5 laps,0
8,6,Nelson PiquetPIQ,Brabham Ford,53,DNF,0
NC,33,Derek DalyDAL,Tyrrell Ford,52,DNF,0
NC,11,Jody ScheckterSCH,Ferrari,48,DNF,0
NC,29,Riccardo PatresePAT,Arrows Ford,44,DNF,0
NC,27,Alan  JonesJON,Williams Ford,36,DNF,0
NC,22,Marc SurerSUR,Ensign Ford,32,DNF,0
NC,28,Clay RegazzoniREG,Williams Ford,29,DNF,0
NC,5,Ricardo ZuninoZUN,Brabham Ford,25,DNF,0
NC,15,Jean-Pierre JabouilleJAB,Renault,24,DNF,0
NC,8,Patrick TambayTAM,McLaren Ford,20,DNF,0
NC,20,Keke RosbergROS,Wolf Ford,20,DNF,0
NC,4,Jean-Pierre JarierJAR,Tyrrell Ford,18,DNF,0
NC,1,Mario AndrettiAND,Lotus Ford,16,DNF,0
NC,2,Carlos ReutemannREU,Lotus Ford,6,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Ford,3,DNF,0
NC,25,Jacky IckxICK,Ligier Ford,2,DNF,0
NC,35,Bruno GiacomelliGIA,Alfa Romeo,0,DNF,0
