Pos,No,Driver,Car,Laps,Time/retired,Pts
1,27,Alan  JonesJON,Williams Ford,75,1:41:19.775,9
2,11,Jody ScheckterSCH,Ferrari,75,+21.783s,6
3,26,Jacques LaffiteLAF,Ligier Ford,75,+63.253s,4
4,6,Nelson PiquetPIQ,Brabham Alfa Romeo,74,+1 lap,3
5,25,Jacky IckxICK,Ligier Ford,74,+1 lap,2
6,30,Jochen MassMAS,Arrows Ford,73,+2 laps,1
7,31,Hector RebaqueREB,Lotus Ford,73,+2 laps,0
NC,3,Didier PironiPIR,Tyrrell Ford,51,DNF,0
NC,12,Gilles VilleneuveVIL,Ferrari,49,DNF,0
NC,18,Elio de AngelisDEA,Shadow Ford,40,DNF,0
NC,20,Keke RosbergROS,Wolf Ford,33,DNF,0
NC,15,Jean-Pierre JabouilleJAB,Renault,26,DNF,0
NC,7,John WatsonWAT,McLaren Ford,22,DNF,0
NC,4,Jean-Pierre JarierJAR,Tyrrell Ford,20,DNF,0
NC,9,Hans-Joachim StuckSTU,ATS Ford,19,DNF,0
NC,17,Jan LammersLAM,Shadow Ford,12,DNF,0
NC,1,Mario AndrettiAND,Lotus Ford,9,DNF,0
NC,29,Riccardo PatresePAT,Arrows Ford,7,DNF,0
NC,8,Patrick TambayTAM,McLaren Ford,6,DNF,0
NC,5,Niki LaudaLAU,Brabham Alfa Romeo,4,DNF,0
NC,14,Emerson FittipaldiFIT,Fittipaldi Ford,2,DNF,0
NC,2,Carlos ReutemannREU,Lotus Ford,1,DNF,0
NC,16,Rene ArnouxARN,Renault,1,DNF,0
NC,28,Clay RegazzoniREG,Williams Ford,0,DNF,0
