Pos,No,Driver,Car,Time
1,11,Elio de AngelisDEA,Lotus Renault,1:24.567
2,12,Ayrton SennaSEN,Lotus Renault,1:24.816
3,27,Michele AlboretoALB,Ferrari,1:25.127
4,28,Stefan JohanssonJOH,Ferrari,1:25.170
5,2,Alain ProstPRO,McLaren TAG,1:25.557
6,16,Derek WarwickWAR,Renault,1:25.622
7,18,Thierry BoutsenBOU,Arrows BMW,1:25.846
8,6,Keke RosbergROS,Williams Honda,1:26.097
9,7,Nelson PiquetPIQ,Brabham BMW,1:26.301
10,15,Patrick TambayTAM,Renault,1:26.340
11,23,Eddie  CheeverCHE,Alfa Romeo,1:26.354
12,17,Gerhard BergerBER,Arrows BMW,1:26.743
13,22,Riccardo PatresePAT,Alfa Romeo,1:26.995
14,9,Manfred WinkelhockWIN,RAM Hart,1:27.266
15,25,Andrea de CesarisDEC,Ligier Renault,1:27.403
16,5,Nigel MansellMAN,Williams Honda,1:27.728
17,1,Niki LaudaLAU,McLaren TAG,1:28.126
18,19,Teo FabiFAB,Toleman Hart,1:28.625
19,26,Jacques LaffiteLAF,Ligier Renault,1:28.750
20,8,Marc SurerSUR,Brabham BMW,1:29.473
21,10,Philippe AlliotALL,RAM Hart,1:29.501
22,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:31.576
23,4,Stefan BellofBEL,Tyrrell Ford,1:31.733
24,3,Martin BrundleBRU,Tyrrell Ford,1:31.923
25,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:34.985
