Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,McLaren TAG,1:25.490
2,5,Nigel MansellMAN,Williams Honda,1:26.052
3,1,Niki LaudaLAU,McLaren TAG,1:26.250
4,6,Keke RosbergROS,Williams Honda,1:26.333
5,7,Nelson PiquetPIQ,Brabham BMW,1:26.404
6,19,Teo FabiFAB,Toleman Hart,1:26.664
7,11,Elio de AngelisDEA,Lotus Renault,1:26.799
8,15,Patrick TambayTAM,Renault,1:27.502
9,27,Michele AlboretoALB,Ferrari,1:27.516
10,22,Riccardo PatresePAT,Alfa Romeo,1:27.851
11,8,Marc SurerSUR,Brabham BMW,1:27.954
12,28,Stefan JohanssonJOH,Ferrari,1:27.961
13,16,Derek WarwickWAR,Renault,1:28.006
14,12,Ayrton SennaSEN,Lotus Renault,1:28.123
15,26,Jacques LaffiteLAF,Ligier Renault,1:28.249
16,18,Thierry BoutsenBOU,Arrows BMW,1:28.262
17,17,Gerhard BergerBER,Arrows BMW,1:28.566
18,25,Andrea de CesarisDEC,Ligier Renault,1:28.666
19,20,Piercarlo GhinzaniGHI,Toleman Hart,1:28.894
20,23,Eddie  CheeverCHE,Alfa Romeo,1:29.031
21,9,Philippe AlliotALL,RAM Hart,1:29.827
22,3,Stefan BellofBEL,Tyrrell Renault,1:30.514
23,10,Kenny AchesonACH,RAM Hart,1:35.072
24,24,Huub RothengatterROT,Osella Alfa Romeo,1:35.329
25,30,Jonathan  PalmerPAL,Zakspeed,1:35.787
26,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:36.765
NC,4,Martin BrundleBRU,Tyrrell Ford,1:37.317
