Pos,No,Driver,Car,Time
1,6,Keke RosbergROS,Williams Honda,1:32.462
2,12,Ayrton SennaSEN,Lotus Renault,1:32.835
3,27,Michele AlboretoALB,Ferrari,1:33.267
4,2,Alain ProstPRO,McLaren TAG,1:33.335
5,7,Nelson PiquetPIQ,Brabham BMW,1:33.812
6,1,Niki LaudaLAU,McLaren TAG,1:33.860
7,11,Elio de AngelisDEA,Lotus Renault,1:34.022
8,5,Nigel MansellMAN,Williams Honda,1:34.191
9,17,Gerhard BergerBER,Arrows BMW,1:34.674
10,15,Patrick TambayTAM,Renault,1:34.680
11,16,Derek WarwickWAR,Renault,1:34.976
12,18,Thierry BoutsenBOU,Arrows BMW,1:35.488
13,25,Andrea de CesarisDEC,Ligier Renault,1:35.571
14,8,Marc SurerSUR,Brabham BMW,1:35.572
15,26,Jacques LaffiteLAF,Ligier Renault,1:36.133
16,28,Stefan JohanssonJOH,Ferrari,1:36.140
17,22,Riccardo PatresePAT,Alfa Romeo,1:36.729
18,23,Eddie  CheeverCHE,Alfa Romeo,1:36.931
19,19,Teo FabiFAB,Toleman Hart,1:37.142
20,9,Manfred WinkelhockWIN,RAM Hart,1:37.654
21,3,Martin BrundleBRU,Tyrrell Renault,1:40.015
22,30,Jonathan  PalmerPAL,Zakspeed,1:40.289
23,10,Philippe AlliotALL,RAM Hart,1:41.647
24,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:42.136
25,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:44.350
26,4,Stefan BellofBEL,Tyrrell Ford,1:44.404
