Pos,No,Driver,Car,Time
1,19,Teo FabiFAB,Toleman Hart,1:17.429
2,28,Stefan JohanssonJOH,Ferrari,1:18.616
3,2,Alain ProstPRO,McLaren TAG,1:18.725
4,6,Keke RosbergROS,Williams Honda,1:18.781
5,12,Ayrton SennaSEN,Lotus Renault,1:18.792
6,7,Nelson PiquetPIQ,Brabham BMW,1:18.802
7,11,Elio de AngelisDEA,Lotus Renault,1:19.120
8,27,Michele AlboretoALB,Ferrari,1:19.194
9,22,Riccardo PatresePAT,Alfa Romeo,1:19.338
10,5,Nigel MansellMAN,Williams Honda,1:19.475
11,8,Marc SurerSUR,Brabham BMW,1:19.558
12,1,Niki LaudaLAU,McLaren TAG,1:19.652
13,26,Jacques LaffiteLAF,Ligier Renault,1:19.656
14,25,Andrea de CesarisDEC,Ligier Renault,1:19.738
15,18,Thierry BoutsenBOU,Arrows BMW,1:19.781
16,15,Patrick TambayTAM,Renault,1:19.917
17,17,Gerhard BergerBER,Arrows BMW,1:20.666
18,23,Eddie  CheeverCHE,Alfa Romeo,1:21.074
19,3,Stefan BellofBEL,Tyrrell Renault,1:21.219
20,16,Derek WarwickWAR,Renault,1:21.237
21,10,Philippe AlliotALL,RAM Hart,1:22.017
22,9,Manfred WinkelhockWIN,RAM Hart,1:22.607
23,14,Francois HesnaultHES,Renault,1:23.161
24,30,Jonathan  PalmerPAL,Zakspeed,1:24.217
25,24,Huub RothengatterROT,Osella Alfa Romeo,1:26.478
26,4,Martin BrundleBRU,Tyrrell Ford,1:27.621
27,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:40.506
