Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:20.450
2,5,Nigel MansellMAN,Williams Honda,1:20.536
3,27,Michele AlboretoALB,Ferrari,1:20.563
4,23,Eddie  CheeverCHE,Alfa Romeo,1:20.729
5,2,Alain ProstPRO,McLaren TAG,1:20.885
6,18,Thierry BoutsenBOU,Arrows BMW,1:21.302
7,6,Keke RosbergROS,Williams Honda,1:21.320
8,25,Andrea de CesarisDEC,Ligier Renault,1:21.347
9,11,Elio de AngelisDEA,Lotus Renault,1:21.465
10,16,Derek WarwickWAR,Renault,1:21.531
11,17,Gerhard BergerBER,Arrows BMW,1:21.665
12,22,Riccardo PatresePAT,Alfa Romeo,1:21.813
13,7,Nelson PiquetPIQ,Brabham BMW,1:21.817
14,1,Niki LaudaLAU,McLaren TAG,1:21.907
15,28,Stefan JohanssonJOH,Ferrari,1:22.635
16,26,Jacques LaffiteLAF,Ligier Renault,1:22.880
17,15,Patrick TambayTAM,Renault,1:22.912
18,3,Martin BrundleBRU,Tyrrell Ford,1:23.827
19,30,Jonathan  PalmerPAL,Zakspeed,1:23.840
20,19,Teo FabiFAB,Toleman Hart,1:23.965
NC,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:24.071
NC,4,Stefan BellofBEL,Tyrrell Ford,1:24.236
NC,10,Philippe AlliotALL,RAM Hart,1:24.763
NC,9,Manfred WinkelhockWIN,RAM Hart,1:24.764
NC,8,Francois HesnaultHES,Brabham BMW,1:25.068
NC,29,Pierluigi MartiniMAR,Minardi Motori Moderni,6:41.037
