Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:21.007
2,2,Alain ProstPRO,McLaren TAG,1:21.420
3,6,Keke RosbergROS,Williams Honda,1:21.904
4,11,Elio de AngelisDEA,Lotus Renault,1:22.159
5,27,Michele AlboretoALB,Ferrari,1:22.577
6,16,Derek WarwickWAR,Renault,1:23.084
7,1,Niki LaudaLAU,McLaren TAG,1:23.288
8,25,Andrea de CesarisDEC,Ligier Renault,1:23.302
9,5,Nigel MansellMAN,Williams Honda,1:23.594
10,7,Nelson PiquetPIQ,Brabham BMW,1:23.618
11,28,Stefan JohanssonJOH,Ferrari,1:23.652
12,15,Patrick TambayTAM,Renault,1:24.111
13,22,Riccardo PatresePAT,Alfa Romeo,1:24.230
14,23,Eddie  CheeverCHE,Alfa Romeo,1:24.563
15,9,Manfred WinkelhockWIN,RAM Hart,1:24.721
16,18,Thierry BoutsenBOU,Arrows BMW,1:24.747
17,17,Gerhard BergerBER,Arrows BMW,1:24.842
18,26,Jacques LaffiteLAF,Ligier Renault,1:24.943
19,8,Francois HesnaultHES,Brabham BMW,1:25.717
20,10,Philippe AlliotALL,RAM Hart,1:26.187
21,4,Stefan BellofBEL,Tyrrell Ford,1:27.284
22,3,Martin BrundleBRU,Tyrrell Ford,1:27.602
23,30,Jonathan  PalmerPAL,Zakspeed,1:28.166
24,21,Mauro BaldiBAL,Spirit Hart,1:28.473
25,29,Pierluigi MartiniMAR,Minardi Ford,1:28.596
26,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:30.855
