Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:07.169
2,7,Nelson PiquetPIQ,Brabham BMW,1:07.482
3,5,Nigel MansellMAN,Williams Honda,1:08.059
4,6,Keke RosbergROS,Williams Honda,1:08.197
5,25,Philippe StreiffSTR,Ligier Renault,1:09.080
6,2,Alain ProstPRO,McLaren TAG,1:09.429
7,8,Marc SurerSUR,Brabham BMW,1:09.762
8,16,Derek WarwickWAR,Renault,1:09.904
9,11,Elio de AngelisDEA,Lotus Renault,1:10.014
10,26,Jacques LaffiteLAF,Ligier Renault,1:10.081
11,22,Riccardo PatresePAT,Alfa Romeo,1:10.251
12,18,Thierry BoutsenBOU,Arrows BMW,1:10.323
13,28,Stefan JohanssonJOH,Ferrari,1:10.517
14,20,Piercarlo GhinzaniGHI,Toleman Hart,1:10.570
15,27,Michele AlboretoALB,Ferrari,1:10.659
16,3,Martin BrundleBRU,Tyrrell Renault,1:10.731
17,15,Patrick TambayTAM,Renault,1:10.934
18,23,Eddie  CheeverCHE,Alfa Romeo,1:11.500
19,17,Gerhard BergerBER,Arrows BMW,1:11.608
20,19,Teo FabiFAB,Toleman Hart,1:12.090
21,1,John WatsonWAT,McLaren TAG,1:12.496
22,33,Alan  JonesJON,Lola Hart,1:13.084
23,9,Philippe AlliotALL,RAM Hart,1:13.537
24,4,Ivan CapelliCAP,Tyrrell Renault,1:13.721
25,30,Christian DannerDAN,Zakspeed,1:15.054
26,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:15.127
NC,24,Huub RothengatterROT,Osella Alfa Romeo,1:16.994
