Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:19.843
2,5,Nigel MansellMAN,Williams Honda,1:20.537
3,6,Keke RosbergROS,Williams Honda,1:21.887
4,2,Alain ProstPRO,McLaren TAG,1:21.889
5,27,Michele AlboretoALB,Ferrari,1:22.337
6,8,Marc SurerSUR,Brabham BMW,1:22.561
7,17,Gerhard BergerBER,Arrows BMW,1:22.592
8,15,Patrick TambayTAM,Renault,1:22.683
9,7,Nelson PiquetPIQ,Brabham BMW,1:22.718
10,11,Elio de AngelisDEA,Lotus Renault,1:23.077
11,18,Thierry BoutsenBOU,Arrows BMW,1:23.196
12,16,Derek WarwickWAR,Renault,1:23.426
13,23,Eddie  CheeverCHE,Alfa Romeo,1:23.597
14,22,Riccardo PatresePAT,Alfa Romeo,1:23.758
15,28,Stefan JohanssonJOH,Ferrari,1:23.902
16,1,Niki LaudaLAU,McLaren TAG,1:23.941
17,3,Martin BrundleBRU,Tyrrell Renault,1:24.241
18,25,Philippe StreiffSTR,Ligier Renault,1:24.286
19,33,Alan  JonesJON,Lola Hart,1:24.369
20,26,Jacques LaffiteLAF,Ligier Renault,1:24.830
21,20,Piercarlo GhinzaniGHI,Toleman Hart,1:25.021
22,4,Ivan CapelliCAP,Tyrrell Renault,1:27.120
23,29,Pierluigi MartiniMAR,Minardi Motori Moderni,1:27.196
24,19,Teo FabiFAB,Toleman Hart,1:28.110
25,24,Huub RothengatterROT,Osella Alfa Romeo,1:30.319
