Pos,No,Driver,Car,Time
1,3,Michael SchumacherMSC,Ferrari,1:37.397
2,1,Mika HakkinenHAK,McLaren Mercedes,1:37.860
3,2,David CoulthardCOU,McLaren Mercedes,1:37.889
4,4,Rubens BarrichelloBAR,Ferrari,1:37.896
5,12,Alexander WurzWUR,Benetton Playlife,1:38.644
6,22,Jacques VilleneuveVIL,BAR Honda,1:38.653
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:38.696
8,9,Ralf SchumacherRSC,Williams BMW,1:38.739
9,6,Jarno TrulliTRU,Jordan Mugen Honda,1:38.909
10,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:38.988
11,23,Ricardo ZontaZON,BAR Honda,1:39.158
12,8,Johnny HerbertHER,Jaguar Cosworth,1:39.331
13,11,Giancarlo FisichellaFIS,Benetton Playlife,1:39.387
14,18,Pedro de la RosaDLR,Arrows Supertec,1:39.443
15,19,Jos VerstappenVER,Arrows Supertec,1:39.489
16,10,Jenson ButtonBUT,Williams BMW,1:39.563
17,17,Mika SaloSAL,Sauber Petronas,1:39.591
18,14,Jean AlesiALE,Prost Peugeot,1:40.065
19,15,Nick HeidfeldHEI,Prost Peugeot,1:40.148
20,16,Pedro DinizDIN,Sauber Petronas,1:40.521
21,20,Marc GeneGEN,Minardi Fondmetal,1:40.662
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:42.078
