Pos,No,Driver,Car,Time
1,3,Michael SchumacherMSC,Ferrari,1:23.770
2,4,Rubens BarrichelloBAR,Ferrari,1:23.797
3,1,Mika HakkinenHAK,McLaren Mercedes,1:23.967
4,22,Jacques VilleneuveVIL,BAR Honda,1:24.238
5,2,David CoulthardCOU,McLaren Mercedes,1:24.290
6,6,Jarno TrulliTRU,Jordan Mugen Honda,1:24.477
7,9,Ralf SchumacherRSC,Williams BMW,1:24.516
8,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:24.786
9,11,Giancarlo FisichellaFIS,Benetton Playlife,1:24.789
10,18,Pedro de la RosaDLR,Arrows Supertec,1:24.814
11,19,Jos VerstappenVER,Arrows Supertec,1:24.820
12,10,Jenson ButtonBUT,Williams BMW,1:24.907
13,12,Alexander WurzWUR,Benetton Playlife,1:25.150
14,7,Eddie IrvineIRV,Jaguar Cosworth,1:25.251
15,17,Mika SaloSAL,Sauber Petronas,1:25.322
16,16,Pedro DinizDIN,Sauber Petronas,1:25.324
17,23,Ricardo ZontaZON,BAR Honda,1:25.337
18,8,Johnny HerbertHER,Jaguar Cosworth,1:25.388
19,14,Jean AlesiALE,Prost Peugeot,1:25.558
20,15,Nick HeidfeldHEI,Prost Peugeot,1:25.625
21,20,Marc GeneGEN,Minardi Fondmetal,1:26.336
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:27.360
