Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Nelson PiquetPIQ,Brabham Ford,53,1:34:32.740,9
2,2,Carlos ReutemannREU,Williams Ford,53,+26.610s,6
3,15,Alain ProstPRO,Renault,53,+49.980s,4
4,1,Alan  JonesJON,Williams Ford,53,+67.880s,3
5,16,Rene ArnouxARN,Renault,53,+91.850s,2
6,11,Elio de AngelisDEA,Lotus Ford,52,+1 lap,1
7,29,Riccardo PatresePAT,Arrows Ford,52,+1 lap,0
8,22,Mario AndrettiAND,Alfa Romeo,52,+1 lap,0
9,30,Siegfried StohrSTO,Arrows Ford,52,+1 lap,0
10,23,Bruno GiacomelliGIA,Alfa Romeo,51,DNF,0
11,8,Andrea de CesarisDEC,McLaren Ford,51,+2 laps,0
12,9,Jan LammersLAM,ATS Ford,51,+2 laps,0
13,4,Ricardo ZuninoZUN,Tyrrell Ford,51,+2 laps,0
NC,27,Gilles VilleneuveVIL,Ferrari,40,DNF,0
NC,33,Patrick TambayTAM,Theodore Ford,36,DNF,0
NC,7,John WatsonWAT,McLaren Ford,36,DNF,0
NC,6,Hector RebaqueREB,Brabham Ford,32,DNF,0
NC,21,Chico SerraSER,Fittipaldi Ford,28,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Matra,19,DNF,0
NC,14,Marc SurerSUR,Ensign Ford,14,DNF,0
NC,20,Keke RosbergROS,Fittipaldi Ford,4,DNF,0
NC,12,Nigel MansellMAN,Lotus Ford,3,DNF,0
NC,28,Didier PironiPIR,Ferrari,3,DNF,0
NC,3,Eddie  CheeverCHE,Tyrrell Ford,1,DNF,0
