Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:04.130,,21
2,77,Valtteri BottasBOT,Mercedes,1:04.277,+0.147s,22
3,33,Max VerstappenVER,Red Bull Racing Honda,1:04.413,+0.283s,20
4,11,Sergio PerezPER,Racing Point BWT Mercedes,1:04.605,+0.475s,19
5,16,Charles LeclercLEC,Ferrari,1:04.703,+0.573s,19
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:04.725,+0.595s,22
7,5,Sebastian VettelVET,Ferrari,1:04.851,+0.721s,20
8,18,Lance StrollSTR,Racing Point BWT Mercedes,1:04.918,+0.788s,18
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:04.949,+0.819s,19
10,4,Lando NorrisNOR,McLaren Renault,1:04.950,+0.820s,22
11,31,Esteban OconOCO,Renault,1:05.037,+0.907s,11
12,3,Daniel RicciardoRIC,Renault,1:05.088,+0.958s,13
13,55,Carlos SainzSAI,McLaren Renault,1:05.177,+1.047s,24
14,26,Daniil KvyatKVY,AlphaTauri Honda,1:05.290,+1.160s,24
15,8,Romain GrosjeanGRO,Haas Ferrari,1:05.363,+1.233s,18
16,63,George RussellRUS,Williams Mercedes,1:05.565,+1.435s,21
17,20,Kevin MagnussenMAG,Haas Ferrari,1:05.648,+1.518s,18
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:05.654,+1.524s,16
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:05.773,+1.643s,19
20,6,Nicholas LatifiLAT,Williams Mercedes,1:07.049,+2.919s,6
