Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:25.873,,19
2,44,Lewis HamiltonHAM,Mercedes,1:26.011,+0.138s,22
3,33,Max VerstappenVER,Red Bull Racing Honda,1:26.173,+0.300s,15
4,18,Lance StrollSTR,Racing Point BWT Mercedes,1:26.576,+0.703s,14
5,55,Carlos SainzSAI,McLaren Renault,1:26.664,+0.791s,22
6,16,Charles LeclercLEC,Ferrari,1:26.771,+0.898s,19
7,4,Lando NorrisNOR,McLaren Renault,1:26.798,+0.925s,23
8,3,Daniel RicciardoRIC,Renault,1:26.841,+0.968s,15
9,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:26.872,+0.999s,15
10,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.046,+1.173s,20
11,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.076,+1.203s,18
12,31,Esteban OconOCO,Renault,1:27.158,+1.285s,16
13,23,Alexander AlbonALB,Red Bull Racing Honda,1:27.178,+1.305s,10
14,5,Sebastian VettelVET,Ferrari,1:27.251,+1.378s,21
15,8,Romain GrosjeanGRO,Haas Ferrari,1:27.537,+1.664s,18
16,63,George RussellRUS,Williams Mercedes,1:27.738,+1.865s,17
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:27.825,+1.952s,16
18,20,Kevin MagnussenMAG,Haas Ferrari,1:27.860,+1.987s,15
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.976,+2.103s,20
20,6,Nicholas LatifiLAT,Williams Mercedes,1:28.112,+2.239s,16
