Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:26.621,,15
2,77,Valtteri BottasBOT,Mercedes,1:26.784,+0.163s,16
3,4,Lando NorrisNOR,McLaren Renault,1:27.202,+0.581s,20
4,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:27.256,+0.635s,16
5,18,Lance StrollSTR,Racing Point BWT Mercedes,1:27.263,+0.642s,15
6,16,Charles LeclercLEC,Ferrari,1:27.328,+0.707s,18
7,33,Max VerstappenVER,Red Bull Racing Honda,1:27.455,+0.834s,12
8,23,Alexander AlbonALB,Red Bull Racing Honda,1:27.474,+0.853s,15
9,31,Esteban OconOCO,Renault,1:27.496,+0.875s,15
10,55,Carlos SainzSAI,McLaren Renault,1:27.627,+1.006s,22
11,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.659,+1.038s,15
12,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.754,+1.133s,18
13,5,Sebastian VettelVET,Ferrari,1:27.811,+1.190s,20
14,3,Daniel RicciardoRIC,Renault,1:27.815,+1.194s,12
15,8,Romain GrosjeanGRO,Haas Ferrari,1:28.076,+1.455s,15
16,6,Nicholas LatifiLAT,Williams Mercedes,1:28.125,+1.504s,14
17,63,George RussellRUS,Williams Mercedes,1:28.349,+1.728s,17
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:28.468,+1.847s,13
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.538,+1.917s,12
20,20,Kevin MagnussenMAG,Haas Ferrari,1:28.763,+2.142s,16
