Pos,No,Driver,Car,Time
1,7,John WatsonWAT,Brabham Alfa Romeo,1:29.860
2,20,Jody ScheckterSCH,Wolf Ford,1:30.270
3,12,Carlos ReutemannREU,Ferrari,1:30.440
4,3,Ronnie PetersonPET,Tyrrell Ford,1:30.720
5,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:30.730
6,11,Niki LaudaLAU,Ferrari,1:30.760
7,1,James HuntHUN,McLaren Ford,1:30.850
8,4,Patrick DepaillerDEP,Tyrrell Ford,1:31.160
9,2,Jochen MassMAS,McLaren Ford,1:31.360
10,5,Mario AndrettiAND,Lotus Ford,1:31.500
11,17,Alan  JonesJON,Shadow Ford,1:32.040
12,34,Jean-Pierre JarierJAR,Penske Ford,1:32.320
13,6,Gunnar NilssonNIL,Lotus Ford,1:32.370
14,19,Vittorio BrambillaBRA,Surtees Ford,1:32.400
15,16,Riccardo PatresePAT,Shadow Ford,1:32.520
16,26,Jacques LaffiteLAF,Ligier Matra,1:32.650
17,22,Jacky IckxICK,Ensign Ford,1:33.250
18,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:33.390
19,18,Hans BinderBIN,Surtees Ford,1:33.490
20,24,Rupert KeeganKEE,Hesketh Ford,1:33.780
