Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:24.640
2,7,John WatsonWAT,Brabham Alfa Romeo,1:26.180
3,6,Gunnar NilssonNIL,Lotus Ford,1:26.450
4,20,Jody ScheckterSCH,Wolf Ford,1:26.480
5,4,Patrick DepaillerDEP,Tyrrell Ford,1:26.710
6,2,Jochen MassMAS,McLaren Ford,1:26.810
7,12,Carlos ReutemannREU,Ferrari,1:26.850
8,3,Ronnie PetersonPET,Tyrrell Ford,1:26.950
9,1,James HuntHUN,McLaren Ford,1:27.040
10,26,Jacques LaffiteLAF,Ligier Matra,1:27.050
11,11,Niki LaudaLAU,Ferrari,1:27.110
12,19,Vittorio BrambillaBRA,Surtees Ford,1:27.230
13,22,Clay RegazzoniREG,Ensign Ford,1:27.280
14,37,Arturo MerzarioMER,March Ford,1:27.330
15,16,Riccardo PatresePAT,Shadow Ford,1:27.350
16,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:27.470
17,17,Alan  JonesJON,Shadow Ford,1:27.550
18,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:27.750
19,24,Rupert KeeganKEE,Hesketh Ford,1:28.020
20,31,David PurleyPUR,LEC Ford,1:28.100
21,10,Ian ScheckterSCH,March Ford,1:28.500
22,30,Brett LungerLUN,McLaren Ford,1:28.510
23,18,Larry PerkinsPER,Surtees Ford,1:28.530
24,27,Patrick NeveNEV,,1:28.670
25,25,Harald ErtlERT,Hesketh Ford,1:29.020
26,34,Jean-Pierre JarierJAR,Penske Ford,1:29.110
27,33,Boy HayjeHAY,March Ford,1:29.460
