Pos,No,Driver,Car,Time
1,20,Jody ScheckterSCH,Wolf Ford,1:53.070
2,7,John WatsonWAT,Brabham Alfa Romeo,1:53.340
3,11,Niki LaudaLAU,Ferrari,1:53.530
4,1,James HuntHUN,McLaren Ford,1:53.680
5,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:53.910
6,26,Jacques LaffiteLAF,Ligier Matra,1:53.970
7,5,Mario AndrettiAND,Lotus Ford,1:53.990
8,12,Carlos ReutemannREU,Ferrari,1:54.270
9,6,Gunnar NilssonNIL,Lotus Ford,1:54.440
10,19,Vittorio BrambillaBRA,Surtees Ford,1:54.530
11,23,Patrick TambayTAM,Ensign Ford,1:54.770
12,34,Jean-Pierre JarierJAR,Penske Ford,1:55.190
13,2,Jochen MassMAS,McLaren Ford,1:55.250
14,3,Ronnie PetersonPET,Tyrrell Ford,1:55.700
15,4,Patrick DepaillerDEP,Tyrrell Ford,1:55.920
16,16,Riccardo PatresePAT,Shadow Ford,1:56.090
17,17,Alan  JonesJON,Shadow Ford,1:56.220
18,10,Ian ScheckterSCH,March Ford,1:56.350
19,18,Vern SchuppanSCH,Surtees Ford,1:56.540
20,9,Alex RibeiroRIB,March Ford,1:56.630
21,30,Brett LungerLUN,McLaren Ford,1:56.640
22,22,Clay RegazzoniREG,Ensign Ford,1:56.680
23,24,Rupert KeeganKEE,Hesketh Ford,1:56.890
24,25,Hector RebaqueREB,Hesketh Ford,1:57.180
25,35,Hans HeyerHEY,Penske Ford,1:57.580
