Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:25.404
2,7,John WatsonWAT,Brabham Alfa Romeo,1:25.545
3,1,James HuntHUN,McLaren Ford,1:25.626
4,20,Jody ScheckterSCH,Wolf Ford,1:25.681
5,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:26.127
6,4,Patrick DepaillerDEP,Tyrrell Ford,1:26.209
7,6,Gunnar NilssonNIL,Lotus Ford,1:26.227
8,26,Jacques LaffiteLAF,Ligier Matra,1:26.259
9,2,Jochen MassMAS,McLaren Ford,1:26.380
10,3,Ronnie PetersonPET,Tyrrell Ford,1:26.383
11,17,Alan  JonesJON,Shadow Ford,1:26.529
12,12,Carlos ReutemannREU,Ferrari,1:26.542
13,19,Vittorio BrambillaBRA,Surtees Ford,1:26.573
14,22,Clay RegazzoniREG,Ensign Ford,1:26.616
15,11,Niki LaudaLAU,Ferrari,1:26.826
16,16,Jackie OliverOLI,Shadow Ford,1:27.492
17,34,Jean-Pierre JarierJAR,Penske Ford,1:27.537
18,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:27.620
19,31,David PurleyPUR,LEC Ford,1:27.716
20,27,Patrick NeveNEV,,1:27.758
21,10,Ian ScheckterSCH,March Ford,1:27.806
22,30,Brett LungerLUN,McLaren Ford,1:28.205
23,25,Harald ErtlERT,Hesketh Ford,1:28.377
24,24,Rupert KeeganKEE,Hesketh Ford,1:28.404
