Pos,No,Driver,Car,Time
1,11,Niki LaudaLAU,Ferrari,1:21.650
2,5,Mario AndrettiAND,Lotus Ford,1:21.868
3,20,Jody ScheckterSCH,Wolf Ford,1:21.887
4,12,Carlos ReutemannREU,Ferrari,1:22.260
5,26,Jacques LaffiteLAF,Ligier Matra,1:22.296
6,7,John WatsonWAT,Brabham Alfa Romeo,1:22.372
7,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:22.382
8,1,James HuntHUN,McLaren Ford,1:22.529
9,34,Jean-Pierre JarierJAR,Penske Ford,1:22.611
10,3,Ronnie PetersonPET,Tyrrell Ford,1:22.655
11,19,Vittorio BrambillaBRA,Surtees Ford,1:22.659
12,4,Patrick DepaillerDEP,Tyrrell Ford,1:22.675
13,22,Clay RegazzoniREG,Ensign Ford,1:22.762
14,17,Alan  JonesJON,Shadow Ford,1:23.056
15,2,Jochen MassMAS,McLaren Ford,1:23.231
16,6,Gunnar NilssonNIL,Lotus Ford,1:23.384
17,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:23.811
18,10,Brian HentonHEN,March Ford,1:24.036
19,18,Hans BinderBIN,Surtees Ford,1:24.163
20,16,Renzo ZorziZOR,Shadow Ford,1:24.357
21,30,Brett LungerLUN,McLaren Ford,1:24.979
22,9,Alex RibeiroRIB,March Ford,1:25.080
