Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:11.385
2,1,James HuntHUN,McLaren Ford,1:11.942
3,3,Ronnie PetersonPET,Tyrrell Ford,1:12.752
4,6,Gunnar NilssonNIL,Lotus Ford,1:12.975
5,2,Jochen MassMAS,McLaren Ford,1:13.116
6,4,Patrick DepaillerDEP,Tyrrell Ford,1:13.207
7,17,Alan  JonesJON,Shadow Ford,1:13.347
8,16,Riccardo PatresePAT,Shadow Ford,1:13.435
9,20,Jody ScheckterSCH,Wolf Ford,1:13.497
10,7,John WatsonWAT,Brabham Alfa Romeo,1:13.500
11,26,Jacques LaffiteLAF,Ligier Matra,1:13.739
12,12,Carlos ReutemannREU,Ferrari,1:13.890
13,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:13.953
14,22,Clay RegazzoniREG,Ensign Ford,1:13.999
15,19,Vittorio BrambillaBRA,Surtees Ford,1:14.229
16,23,Patrick TambayTAM,Ensign Ford,1:14.464
17,21,Gilles VilleneuveVIL,Ferrari,1:14.465
18,10,Ian ScheckterSCH,March Ford,1:14.855
19,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:14.857
20,30,Brett LungerLUN,McLaren Ford,1:14.930
21,27,Patrick NeveNEV,,1:15.510
22,14,Danny OngaisONG,Penske Ford,1:15.599
23,9,Alex RibeiroRIB,March Ford,1:15.770
24,18,Hans BinderBIN,Surtees Ford,1:16.568
25,24,Rupert KeeganKEE,Hesketh Ford,1:17.000
