Pos,No,Driver,Car,Time
1,1,James HuntHUN,McLaren Ford,1:40.863
2,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,1:41.138
3,7,John WatsonWAT,Brabham Alfa Romeo,1:41.193
4,5,Mario AndrettiAND,Lotus Ford,1:41.481
5,3,Ronnie PetersonPET,Tyrrell Ford,1:41.908
6,12,Carlos ReutemannREU,Ferrari,1:41.952
7,11,Niki LaudaLAU,Ferrari,1:42.089
8,4,Patrick DepaillerDEP,Tyrrell Ford,1:42.238
9,20,Jody ScheckterSCH,Wolf Ford,1:42.315
10,26,Jacques LaffiteLAF,Ligier Matra,1:42.640
11,19,Vittorio BrambillaBRA,Surtees Ford,1:42.786
12,6,Gunnar NilssonNIL,Lotus Ford,1:42.815
13,17,Alan  JonesJON,Shadow Ford,1:43.019
14,15,Jean-Pierre JabouilleJAB,Renault,1:43.069
15,2,Jochen MassMAS,McLaren Ford,1:43.242
16,16,Jean-Pierre JarierJAR,Shadow Ford,1:43.516
17,30,Brett LungerLUN,McLaren Ford,1:43.698
18,28,Emerson FittipaldiFIT,Fittipaldi Ford,1:43.938
19,22,Clay RegazzoniREG,Ensign Ford,1:44.208
20,24,Rupert KeeganKEE,Hesketh Ford,1:44.550
21,10,Ian ScheckterSCH,March Ford,1:44.702
22,25,Ian AshleyASH,Hesketh Ford,1:45.100
23,9,Alex RibeiroRIB,March Ford,1:45.473
24,27,Patrick NeveNEV,,1:45.845
25,18,Hans BinderBIN,Surtees Ford,1:45.880
26,14,Danny OngaisONG,Penske Ford,1:46.070
