Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,54,1:39.856,198.754
2,8,Romain GrosjeanGRO,Lotus Renault,52,1:40.445,197.588
3,17,Valtteri BottasBOT,Williams Renault,54,1:40.492,197.496
4,2,Mark WebberWEB,Red Bull Racing Renault,52,1:40.591,197.301
5,10,Lewis HamiltonHAM,Mercedes,50,1:40.818,196.857
6,11,Nico HulkenbergHUL,Sauber Ferrari,54,1:40.952,196.596
7,7,Heikki KovalainenKOV,Lotus Renault,52,1:41.028,196.448
8,9,Nico RosbergROS,Mercedes,51,1:41.133,196.244
9,14,Paul di RestaDIR,Force India Mercedes,54,1:41.148,196.215
10,3,Fernando AlonsoALO,Ferrari,52,1:41.186,196.141
11,4,Felipe MassaMAS,Ferrari,53,1:41.209,196.097
12,5,Jenson ButtonBUT,McLaren Mercedes,50,1:41.285,195.950
13,18,Jean-Eric VergneVER,STR Ferrari,52,1:41.320,195.882
14,12,Esteban Gutierrez GUT,Sauber Ferrari,51,1:41.401,195.725
15,6,Sergio PerezPER,McLaren Mercedes,47,1:41.830,194.901
16,19,Daniel RicciardoRIC,STR Ferrari,45,1:42.119,194.349
17,16,Pastor MaldonadoMAL,Williams Renault,42,1:43.058,192.578
18,22,Jules BianchiBIA,Marussia Cosworth,45,1:43.419,191.906
19,23,Max ChiltonCHI,Marussia Cosworth,48,1:43.775,191.248
20,21,Giedo van der GardeVDG,Caterham Renault,45,1:43.933,190.957
21,20,Charles PicPIC,Caterham Renault,48,1:43.968,190.893
