Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Mark WebberWEB,Red Bull Racing Renault,69,1:16.182,206.080
2,3,Fernando AlonsoALO,Ferrari,69,1:16.203,206.023
3,10,Lewis HamiltonHAM,Mercedes,69,1:16.354,205.615
4,9,Nico RosbergROS,Mercedes,70,1:16.534,205.132
5,1,Sebastian VettelVET,Red Bull Racing Renault,55,1:16.561,205.060
6,4,Felipe MassaMAS,Ferrari,69,1:16.939,204.052
7,6,Sergio PerezPER,McLaren Mercedes,69,1:17.369,202.918
8,5,Jenson ButtonBUT,McLaren Mercedes,68,1:17.458,202.685
9,8,Romain GrosjeanGRO,Lotus Renault,62,1:17.607,202.296
10,15,Adrian SutilSUT,Force India Mercedes,68,1:17.694,202.069
11,7,Kimi RäikkönenRAI,Lotus Renault,61,1:17.766,201.882
12,14,Paul di RestaDIR,Force India Mercedes,63,1:17.841,201.688
13,18,Jean-Eric VergneVER,STR Ferrari,61,1:17.909,201.512
14,17,Valtteri BottasBOT,Williams Renault,63,1:18.004,201.266
15,16,Pastor MaldonadoMAL,Williams Renault,68,1:18.105,201.006
16,19,Daniel RicciardoRIC,STR Ferrari,68,1:18.257,200.615
17,22,Jules BianchiBIA,Marussia Cosworth,68,1:18.873,199.049
18,11,Nico HulkenbergHUL,Sauber Ferrari,40,1:19.056,198.588
19,20,Charles PicPIC,Caterham Renault,60,1:19.380,197.777
20,12,Esteban Gutierrez GUT,Sauber Ferrari,52,1:19.478,197.533
21,23,Max ChiltonCHI,Marussia Cosworth,67,1:19.566,197.315
22,21,Giedo van der GardeVDG,Caterham Renault,42,1:21.811,191.900
