Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Mark WebberWEB,Red Bull Racing Renault,51,1:15.436,205.636
2,3,Fernando AlonsoALO,Ferrari,50,1:15.496,205.473
3,1,Sebastian VettelVET,Red Bull Racing Renault,51,1:15.624,205.125
4,15,Adrian SutilSUT,Force India Mercedes,57,1:16.049,203.979
5,6,Sergio PerezPER,McLaren Mercedes,50,1:16.246,203.451
6,9,Nico RosbergROS,Mercedes,60,1:16.442,202.930
7,5,Jenson ButtonBUT,McLaren Mercedes,52,1:16.450,202.909
8,4,Felipe MassaMAS,Ferrari,49,1:16.470,202.856
9,12,Esteban Gutierrez GUT,Sauber Ferrari,59,1:16.528,202.702
10,10,Lewis HamiltonHAM,Mercedes,51,1:16.692,202.268
11,18,Jean-Eric VergneVER,STR Ferrari,49,1:16.790,202.010
12,11,Nico HulkenbergHUL,Sauber Ferrari,49,1:16.802,201.979
13,17,Valtteri BottasBOT,Williams Renault,43,1:16.840,201.879
14,14,Paul di RestaDIR,Force India Mercedes,58,1:16.855,201.839
15,19,Daniel RicciardoRIC,STR Ferrari,45,1:16.974,201.527
16,7,Heikki KovalainenKOV,Lotus Renault,70,1:17.249,200.810
17,23,Max ChiltonCHI,Marussia Cosworth,68,1:17.281,200.727
18,16,Pastor MaldonadoMAL,Williams Renault,45,1:17.554,200.020
19,21,Giedo van der GardeVDG,Caterham Renault,51,1:17.590,199.927
20,22,Jules BianchiBIA,Marussia Cosworth,67,1:17.717,199.601
21,20,Charles PicPIC,Caterham Renault,27,1:18.434,197.776
22,8,Romain GrosjeanGRO,Lotus Renault,2,1:20.898,191.752
