Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,77,1:16.577,157.018
2,7,Kimi RäikkönenRAI,Lotus Renault,78,1:17.392,155.364
3,10,Lewis HamiltonHAM,Mercedes,76,1:18.133,153.891
4,2,Mark WebberWEB,Red Bull Racing Renault,77,1:18.262,153.637
5,15,Adrian SutilSUT,Force India Mercedes,74,1:18.292,153.578
6,9,Nico RosbergROS,Mercedes,74,1:18.327,153.510
7,12,Esteban Gutierrez GUT,Sauber Ferrari,71,1:18.685,152.811
8,5,Jenson ButtonBUT,McLaren Mercedes,76,1:18.720,152.743
9,23,Max ChiltonCHI,Marussia Cosworth,78,1:19.016,152.171
10,18,Jean-Eric VergneVER,STR Ferrari,77,1:19.151,151.912
11,14,Paul di RestaDIR,Force India Mercedes,77,1:19.215,151.789
12,3,Fernando AlonsoALO,Ferrari,77,1:19.340,151.550
13,19,Daniel RicciardoRIC,STR Ferrari,26,1:19.426,151.386
14,6,Sergio PerezPER,McLaren Mercedes,27,1:19.530,151.188
15,11,Nico HulkenbergHUL,Sauber Ferrari,29,1:19.853,150.576
16,4,Felipe MassaMAS,Ferrari,28,1:20.064,150.179
17,21,Giedo van der GardeVDG,Caterham Renault,50,1:20.494,149.377
18,22,Jules BianchiBIA,Marussia Cosworth,49,1:20.617,149.149
19,16,Pastor MaldonadoMAL,Williams Renault,8,1:20.881,148.662
20,17,Valtteri BottasBOT,Williams Renault,68,1:20.921,148.589
21,8,Romain GrosjeanGRO,Lotus Renault,57,1:20.969,148.501
22,20,Charles PicPIC,Caterham Renault,4,1:22.772,145.266
