Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Mark WebberWEB,Red Bull Racing Renault,44,1:34.587,221.015
2,9,Nico RosbergROS,Mercedes,46,1:34.650,220.868
3,19,Daniel RicciardoRIC,STR Ferrari,52,1:35.020,220.008
4,1,Sebastian VettelVET,Red Bull Racing Renault,39,1:35.317,219.322
5,7,Kimi RäikkönenRAI,Lotus Renault,35,1:35.516,218.865
6,5,Jenson ButtonBUT,McLaren Mercedes,53,1:35.549,218.790
7,6,Sergio PerezPER,McLaren Mercedes,46,1:35.845,218.114
8,3,Fernando AlonsoALO,Ferrari,39,1:35.877,218.041
9,18,Jean-Eric VergneVER,STR Ferrari,52,1:35.895,218.000
10,8,Romain GrosjeanGRO,Lotus Renault,48,1:35.991,217.782
11,11,Nico HulkenbergHUL,Sauber Ferrari,33,1:36.482,216.674
12,12,Esteban Gutierrez GUT,Sauber Ferrari,50,1:36.499,216.636
13,4,Felipe MassaMAS,Ferrari,30,1:37.001,215.515
14,15,Adrian SutilSUT,Force India Mercedes,29,1:37.367,214.705
15,14,Paul di RestaDIR,Force India Mercedes,41,1:37.407,214.617
16,16,Pastor MaldonadoMAL,Williams Renault,30,1:37.423,214.581
17,20,Charles PicPIC,Caterham Renault,51,1:37.489,214.436
18,17,Valtteri BottasBOT,Williams Renault,43,1:37.856,213.632
19,23,Max ChiltonCHI,Marussia Cosworth,45,1:38.713,211.777
20,10,Lewis HamiltonHAM,Mercedes,3,1:41.202,206.569
