Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Fernando AlonsoALO,Ferrari,55,1:43.434,193.305
2,1,Sebastian VettelVET,Red Bull Racing Renault,51,1:43.893,192.451
3,8,Romain GrosjeanGRO,Lotus Renault,54,1:44.301,191.699
4,17,Valtteri BottasBOT,Williams Renault,54,1:44.351,191.607
5,2,Mark WebberWEB,Red Bull Racing Renault,49,1:44.364,191.583
6,9,Nico RosbergROS,Mercedes,51,1:44.458,191.410
7,18,Jean-Eric VergneVER,STR Ferrari,53,1:44.517,191.302
8,6,Sergio PerezPER,McLaren Mercedes,51,1:45.435,189.637
9,4,Felipe MassaMAS,Ferrari,52,1:45.447,189.615
10,10,Lewis HamiltonHAM,Mercedes,47,1:45.463,189.586
11,16,Pastor MaldonadoMAL,Williams Renault,55,1:45.530,189.466
12,11,Nico HulkenbergHUL,Sauber Ferrari,52,1:45.570,189.394
13,15,Adrian SutilSUT,Force India Mercedes,48,1:45.609,189.324
14,14,Paul di RestaDIR,Force India Mercedes,55,1:45.786,189.007
15,12,Esteban Gutierrez GUT,Sauber Ferrari,43,1:45.974,188.672
16,19,Daniel RicciardoRIC,STR Ferrari,46,1:46.042,188.551
17,5,Jenson ButtonBUT,McLaren Mercedes,43,1:46.336,188.030
18,20,Charles PicPIC,Caterham Renault,50,1:46.432,187.860
19,21,Giedo van der GardeVDG,Caterham Renault,48,1:46.592,187.578
20,22,Jules BianchiBIA,Marussia Cosworth,52,1:47.619,185.788
21,23,Max ChiltonCHI,Marussia Cosworth,52,1:47.707,185.636
