Pos,No,Driver,Car,Lap,Time,Avg speed
1,7,Kimi RäikkönenRAI,Lotus Renault,56,1:29.274,213.845
2,18,Jean-Eric VergneVER,STR Ferrari,50,1:29.498,213.309
3,3,Fernando AlonsoALO,Ferrari,53,1:29.560,213.162
4,2,Mark WebberWEB,Red Bull Racing Renault,45,1:29.732,212.753
5,10,Lewis HamiltonHAM,Mercedes,45,1:29.759,212.689
6,6,Sergio PerezPER,McLaren Mercedes,46,1:29.926,212.294
7,5,Jenson ButtonBUT,McLaren Mercedes,41,1:30.198,211.654
8,4,Felipe MassaMAS,Ferrari,38,1:30.239,211.558
9,8,Romain GrosjeanGRO,Lotus Renault,41,1:30.395,211.193
10,1,Sebastian VettelVET,Red Bull Racing Renault,42,1:30.409,211.160
11,22,Jules BianchiBIA,Marussia Cosworth,52,1:30.454,211.055
12,17,Valtteri BottasBOT,Williams Renault,42,1:30.652,210.594
13,15,Adrian SutilSUT,Force India Mercedes,49,1:30.710,210.459
14,19,Daniel RicciardoRIC,STR Ferrari,33,1:30.881,210.063
15,14,Paul di RestaDIR,Force India Mercedes,56,1:30.894,210.033
16,12,Esteban Gutierrez GUT,Sauber Ferrari,32,1:31.415,208.836
17,23,Max ChiltonCHI,Marussia Cosworth,49,1:32.210,207.036
18,9,Nico RosbergROS,Mercedes,18,1:32.259,206.926
19,20,Charles PicPIC,Caterham Renault,55,1:32.261,206.921
20,21,Giedo van der GardeVDG,Caterham Renault,39,1:32.636,206.084
21,16,Pastor MaldonadoMAL,Williams Renault,12,1:32.915,205.465
