Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,53,1:41.380,199.388
2,8,Romain GrosjeanGRO,Lotus Renault,46,1:41.936,198.300
3,7,Kimi RäikkönenRAI,Lotus Renault,51,1:41.975,198.225
4,9,Nico RosbergROS,Mercedes,54,1:42.471,197.265
5,10,Lewis HamiltonHAM,Mercedes,53,1:42.539,197.134
6,11,Nico HulkenbergHUL,Sauber Ferrari,53,1:42.608,197.002
7,3,Fernando AlonsoALO,Ferrari,54,1:42.709,196.808
8,12,Esteban Gutierrez GUT,Sauber Ferrari,55,1:42.744,196.741
9,19,Daniel RicciardoRIC,STR Ferrari,52,1:42.947,196.353
10,4,Felipe MassaMAS,Ferrari,47,1:42.954,196.340
11,6,Sergio PerezPER,McLaren Mercedes,47,1:42.973,196.303
12,5,Jenson ButtonBUT,McLaren Mercedes,45,1:43.073,196.113
13,2,Mark WebberWEB,Red Bull Racing Renault,27,1:43.863,194.621
14,17,Valtteri BottasBOT,Williams Renault,44,1:43.869,194.610
15,18,Jean-Eric VergneVER,STR Ferrari,52,1:44.090,194.197
16,15,Adrian SutilSUT,Force India Mercedes,43,1:44.095,194.188
17,16,Pastor MaldonadoMAL,Williams Renault,43,1:44.136,194.111
18,21,Giedo van der GardeVDG,Caterham Renault,55,1:44.375,193.667
19,20,Charles PicPIC,Caterham Renault,54,1:44.477,193.477
20,22,Jules BianchiBIA,Marussia Cosworth,54,1:44.991,192.530
21,23,Max ChiltonCHI,Marussia Cosworth,48,1:45.408,191.769
22,14,Paul di RestaDIR,Force India Mercedes,10,1:46.411,189.961
