Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing RBPT,21,30:39.567,8
2,16,Charles LeclercLEC,Ferrari,21,+2.975s,7
3,11,Sergio PerezPER,Red Bull Racing RBPT,21,+4.721s,6
4,55,Carlos SainzSAI,Ferrari,21,+17.578s,5
5,4,Lando NorrisNOR,McLaren Mercedes,21,+24.561s,4
6,3,Daniel RicciardoRIC,McLaren Mercedes,21,+27.740s,3
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,21,+28.133s,2
8,20,Kevin MagnussenMAG,Haas Ferrari,21,+30.712s,1
9,14,Fernando AlonsoALO,Alpine Renault,21,+32.278s,0
10,47,Mick SchumacherMSC,Haas Ferrari,21,+33.773s,0
11,63,George RussellRUS,Mercedes,21,+36.284s,0
12,22,Yuki TsunodaTSU,AlphaTauri RBPT,21,+38.298s,0
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,21,+40.177s,0
14,44,Lewis HamiltonHAM,Mercedes,21,+41.459s,0
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,21,+42.910s,0
16,31,Esteban OconOCO,Alpine Renault,21,+43.517s,0
17,10,Pierre GaslyGAS,AlphaTauri RBPT,21,+43.794s,0
18,23,Alexander AlbonALB,Williams Mercedes,21,+48.871s,0
19,6,Nicholas LatifiLAT,Williams Mercedes,21,+52.017s,0
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,0,DNF,0
