Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:24.118
2,12,Ayrton SennaSEN,Lotus Renault,1:24.188
3,6,Nelson PiquetPIQ,Williams Honda,1:24.384
4,1,Alain ProstPRO,McLaren TAG,1:25.192
5,25,Rene ArnouxARN,Ligier Renault,1:25.224
6,2,Keke RosbergROS,McLaren TAG,1:25.533
7,20,Gerhard BergerBER,Benetton BMW,1:26.439
8,26,Jacques LaffiteLAF,Ligier Renault,1:26.447
9,7,Riccardo PatresePAT,Brabham BMW,1:26.483
10,8,Derek WarwickWAR,Brabham BMW,1:27.413
11,27,Michele AlboretoALB,Ferrari,1:27.495
12,18,Thierry BoutsenBOU,Arrows BMW,1:27.614
13,15,Alan  JonesJON,Lola Ford,1:28.058
14,16,Patrick TambayTAM,Lola Ford,1:28.095
15,19,Teo FabiFAB,Benetton BMW,1:28.102
16,11,Johnny DumfriesDUM,Lotus Renault,1:28.521
17,4,Philippe StreiffSTR,Tyrrell Renault,1:28.639
18,28,Stefan JohanssonJOH,Ferrari,1:28.881
19,3,Martin BrundleBRU,Tyrrell Renault,1:29.111
20,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:29.653
21,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:29.854
22,14,Jonathan  PalmerPAL,Zakspeed,1:30.005
23,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:31.479
24,29,Huub RothengatterROT,Zakspeed,1:32.113
25,22,Christian DannerDAN,Osella Alfa Romeo,1:41.436
