Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:38.301
2,5,Nigel MansellMAN,Williams Honda,1:38.839
3,6,Nelson PiquetPIQ,Williams Honda,1:39.076
4,25,Rene ArnouxARN,Ligier Renault,1:39.689
5,28,Stefan JohanssonJOH,Ferrari,1:40.312
6,26,Jacques LaffiteLAF,Ligier Renault,1:40.676
7,1,Alain ProstPRO,McLaren TAG,1:40.715
8,7,Riccardo PatresePAT,Brabham BMW,1:40.819
9,2,Keke RosbergROS,McLaren TAG,1:40.848
10,16,Eddie  CheeverCHE,Lola Ford,1:41.540
11,27,Michele AlboretoALB,Ferrari,1:41.606
12,20,Gerhard BergerBER,Benetton BMW,1:41.836
13,18,Thierry BoutsenBOU,Arrows BMW,1:42.279
14,11,Johnny DumfriesDUM,Lotus Renault,1:42.511
15,8,Derek WarwickWAR,Brabham BMW,1:42.558
16,3,Martin BrundleBRU,Tyrrell Renault,1:42.815
17,19,Teo FabiFAB,Benetton BMW,1:43.658
18,4,Philippe StreiffSTR,Tyrrell Renault,1:43.796
19,17,Christian DannerDAN,Arrows BMW,1:44.259
20,14,Jonathan  PalmerPAL,Zakspeed,1:44.401
21,15,Alan  JonesJON,Lola Ford,1:44.450
22,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:45.059
23,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:46.705
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:47.230
25,22,Allen BergBER,Osella Alfa Romeo,1:48.682
26,29,Huub RothengatterROT,Zakspeed,1:49.680
