Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:25.050
2,6,Nelson PiquetPIQ,Williams Honda,1:25.569
3,5,Nigel MansellMAN,Williams Honda,1:26.159
4,1,Alain ProstPRO,McLaren TAG,1:26.176
5,27,Michele AlboretoALB,Ferrari,1:26.263
6,2,Keke RosbergROS,McLaren TAG,1:26.385
7,28,Stefan JohanssonJOH,Ferrari,1:27.009
8,25,Rene ArnouxARN,Ligier Renault,1:27.403
9,20,Gerhard BergerBER,Benetton BMW,1:27.444
10,19,Teo FabiFAB,Benetton BMW,1:27.538
11,16,Patrick TambayTAM,Lola Hart,1:27.860
12,18,Thierry BoutsenBOU,Arrows BMW,1:28.022
13,3,Martin BrundleBRU,Tyrrell Renault,1:28.329
14,26,Jacques LaffiteLAF,Ligier Renault,1:28.389
15,17,Marc SurerSUR,Arrows BMW,1:28.637
16,7,Riccardo PatresePAT,Brabham BMW,1:28.828
17,11,Johnny DumfriesDUM,Lotus Renault,1:29.244
18,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:29.244
19,8,Elio de AngelisDEA,Brabham BMW,1:29.713
20,14,Jonathan  PalmerPAL,Zakspeed,1:30.024
21,15,Alan  JonesJON,Lola Ford,1:30.087
22,4,Philippe StreiffSTR,Tyrrell Renault,1:30.123
23,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:30.131
24,29,Huub RothengatterROT,Zakspeed,1:31.953
25,22,Christian DannerDAN,Osella Alfa Romeo,1:33.806
26,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:34.461
