Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:25.501
2,6,Nelson PiquetPIQ,Williams Honda,1:26.266
3,5,Nigel MansellMAN,Williams Honda,1:26.749
4,25,Rene ArnouxARN,Ligier Renault,1:27.133
5,26,Jacques LaffiteLAF,Ligier Renault,1:27.190
6,27,Michele AlboretoALB,Ferrari,1:27.485
7,2,Keke RosbergROS,McLaren TAG,1:27.705
8,28,Stefan JohanssonJOH,Ferrari,1:27.711
9,1,Alain ProstPRO,McLaren TAG,1:28.099
10,7,Riccardo PatresePAT,Brabham BMW,1:29.294
11,11,Johnny DumfriesDUM,Lotus Renault,1:29.503
12,19,Teo FabiFAB,Benetton BMW,1:29.748
13,16,Patrick TambayTAM,Lola Hart,1:30.594
14,8,Elio de AngelisDEA,Brabham BMW,1:31.074
15,18,Thierry BoutsenBOU,Arrows BMW,1:31.244
16,20,Gerhard BergerBER,Benetton BMW,1:31.313
17,3,Martin BrundleBRU,Tyrrell Renault,1:32.009
18,4,Philippe StreiffSTR,Tyrrell Renault,1:32.388
19,15,Alan  JonesJON,Lola Hart,1:33.236
20,17,Marc SurerSUR,Arrows BMW,1:33.781
21,14,Jonathan  PalmerPAL,Zakspeed,1:33.784
22,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:34.646
23,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:35.988
24,22,Christian DannerDAN,Osella Alfa Romeo,1:36.558
25,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:37.466
