Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:18.403
2,6,Nelson PiquetPIQ,Williams Honda,1:18.714
3,12,Ayrton SennaSEN,Lotus Renault,1:18.906
4,1,Alain ProstPRO,McLaren TAG,1:19.654
5,25,Rene ArnouxARN,Ligier Renault,1:19.976
6,20,Gerhard BergerBER,Benetton BMW,1:20.554
7,2,Keke RosbergROS,McLaren TAG,1:20.778
8,26,Philippe AlliotALL,Ligier Renault,1:20.981
9,27,Michele AlboretoALB,Ferrari,1:21.709
10,4,Philippe StreiffSTR,Tyrrell Renault,1:21.720
11,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:22.012
12,28,Stefan JohanssonJOH,Ferrari,1:22.050
13,19,Teo FabiFAB,Benetton BMW,1:22.129
14,11,Johnny DumfriesDUM,Lotus Renault,1:22.664
15,15,Alan  JonesJON,Lola Ford,1:22.796
16,3,Martin BrundleBRU,Tyrrell Renault,1:23.004
17,16,Patrick TambayTAM,Lola Ford,1:23.008
18,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:23.052
19,7,Riccardo PatresePAT,Brabham BMW,1:23.230
20,8,Derek WarwickWAR,Brabham BMW,1:23.313
21,14,Jonathan  PalmerPAL,Zakspeed,1:23.476
22,18,Thierry BoutsenBOU,Arrows BMW,1:24.295
23,29,Huub RothengatterROT,Zakspeed,1:25.181
24,17,Christian DannerDAN,Arrows BMW,1:25.233
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:25.257
26,22,Allen BergBER,Osella Alfa Romeo,1:27.208
