Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:38.343,1:37.500,1:37.113,20
2,44,Lewis HamiltonHAM,Mercedes,1:38.558,1:37.672,1:37.433,18
3,77,Valtteri BottasBOT,Williams Mercedes,1:38.448,1:38.194,1:37.912,26
4,5,Sebastian VettelVET,Ferrari,1:38.598,1:38.402,1:37.965,15
5,7,Kimi RäikkönenRAI,Ferrari,1:39.207,1:38.224,1:38.348,18
6,27,Nico HulkenbergHUL,Force India Mercedes,1:39.250,1:38.727,1:38.659,21
7,11,Sergio PerezPER,Force India Mercedes,1:39.617,1:38.914,1:38.691,19
8,8,Romain GrosjeanGRO,Lotus Mercedes,1:39.056,1:38.754,1:38.787,19
9,33,Max VerstappenVER,STR Renault,1:39.411,1:39.119,1:38.924,23
10,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:39.574,1:39.005,1:39.728,18
11,26,Daniil KvyatKVY,Red Bull Racing Renault,1:39.580,1:39.214,,18
12,12,Felipe NasrNAS,Sauber Ferrari,1:40.042,1:39.323,,18
13,22,Jenson ButtonBUT,McLaren Honda,1:39.739,1:39.763,,15
14,13,Pastor MaldonadoMAL,Lotus Mercedes,1:39.724,1:39.811,,15
15,19,Felipe MassaMAS,Williams Mercedes,1:38.926,1:39.895,,17
16,14,Fernando AlonsoALO,McLaren Honda,1:40.144,,,7
17,9,Marcus EricssonERI,Sauber Ferrari,1:40.660,,,9
18,28,Will StevensSTE,Marussia Ferrari,1:43.693,,,9
19,98,Roberto MerhiMER,Marussia Ferrari,1:43.804,,,8
