Pos,No,Driver,Car,Time
1,1,Phil HillHIL,Ferrari,1:35.700
2,3,Wolfgang von TripsVON,Ferrari,1:35.700
3,2,Richie GintherGIN,Ferrari,1:35.900
4,14,Stirling MossMOS,Lotus Climax,1:36.200
5,4,Graham HillHIL,BRM Climax,1:36.300
6,7,Dan GurneyGUR,Porsche,1:36.400
7,10,Jack BrabhamBRA,Cooper Climax,1:36.600
8,5,Tony BrooksBRO,BRM Climax,1:36.800
9,12,John SurteesSUR,Cooper Climax,1:36.800
10,15,Jim ClarkCLA,Lotus Climax,1:36.900
11,6,Jo BonnierBON,Porsche,1:37.100
12,9,Hans  HerrmannHER,Porsche,1:38.000
13,11,Bruce McLarenMCL,Cooper Climax,1:38.200
14,16,Trevor  Taylor TAY,Lotus Climax,1:39.500
15,8,Carel Godin de Beaufort DEB,Porsche,1:39.800
