Pos,No,Driver,Car,Time
1,7,David CoulthardCOU,McLaren Mercedes,1:25.852
2,3,Michael SchumacherMSC,Ferrari,1:26.251
3,8,Mika HakkinenHAK,McLaren Mercedes,1:26.632
4,4,Eddie IrvineIRV,Ferrari,1:26.780
5,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:26.827
6,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:26.876
7,1,Jacques VilleneuveVIL,Williams Mecachrome,1:26.941
8,6,Alexander WurzWUR,Benetton Playlife,1:27.198
9,9,Damon HillHIL,Jordan Mugen Honda,1:27.483
10,5,Giancarlo FisichellaFIS,Benetton Playlife,1:27.836
11,14,Jean AlesiALE,Sauber Petronas,1:27.839
12,15,Johnny HerbertHER,Sauber Petronas,1:28.016
13,21,Toranosuke TakagiTAK,Tyrrell Ford,1:28.811
14,18,Rubens BarrichelloBAR,Stewart Ford,1:29.249
15,11,Olivier PanisPAN,Prost Peugeot,1:29.320
16,12,Jarno TrulliTRU,Prost Peugeot,1:29.352
17,17,Mika SaloSAL,Arrows,1:29.617
18,16,Pedro DinizDIN,Arrows,1:30.022
19,22,Shinji NakanoNAK,Minardi Ford,1:30.054
20,23,Esteban TueroTUE,Minardi Ford,1:30.158
21,20,Ricardo RossetROS,Tyrrell Ford,1:30.437
22,19,Jan MagnussenMAG,Stewart Ford,1:31.178
