Pos,No,Driver,Car,Time
1,8,Mika HakkinenHAK,McLaren Mercedes,1:16.973
2,7,David CoulthardCOU,McLaren Mercedes,1:17.131
3,3,Michael SchumacherMSC,Ferrari,1:17.366
4,9,Damon HillHIL,Jordan Mugen Honda,1:18.214
5,4,Eddie IrvineIRV,Ferrari,1:18.325
6,1,Jacques VilleneuveVIL,Williams Mecachrome,1:18.337
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:19.029
8,5,Giancarlo FisichellaFIS,Benetton Playlife,1:19.050
9,6,Alexander WurzWUR,Benetton Playlife,1:19.063
10,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:19.171
11,14,Jean AlesiALE,Sauber Petronas,1:19.210
12,16,Pedro DinizDIN,Arrows,1:19.706
13,17,Mika SaloSAL,Arrows,1:19.712
14,18,Rubens BarrichelloBAR,Stewart Ford,1:19.876
15,15,Johnny HerbertHER,Sauber Petronas,1:19.878
16,12,Jarno TrulliTRU,Prost Peugeot,1:20.042
17,19,Jos VerstappenVER,Stewart Ford,1:20.198
18,21,Toranosuke TakagiTAK,Tyrrell Ford,1:20.354
19,22,Shinji NakanoNAK,Minardi Ford,1:20.635
20,11,Olivier PanisPAN,Prost Peugeot,1:20.663
21,23,Esteban TueroTUE,Minardi Ford,1:21.725
