Pos,No,Driver,Car,Laps,Time/retired,Pts
1,20,Jackie StewartSTE,Matra Ford,68,1:39:11.260,9
2,4,Jochen RindtRIN,Lotus Ford,68,+0.080s,6
3,22,Jean-Pierre BeltoiseBEL,Matra Ford,68,+0.170s,4
4,18,Bruce McLarenMCL,McLaren Ford,68,+0.190s,3
5,32,Piers   CourageCOU,Brabham Ford,68,+33.440s,2
6,10,Pedro RodriguezROD,Ferrari,66,+2 laps,1
7,16,Denny HulmeHUL,McLaren Ford,66,+2 laps,0
8,30,Jo SiffertSIF,Lotus Ford,64,DNF,0
9,2,Graham HillHIL,Lotus Ford,63,DNF,0
10,26,Jacky IckxICK,Brabham Ford,61,DNF,0
NC,14,John SurteesSUR,BRM,60,+8 laps,0
NC,12,Jackie OliverOLI,BRM,48,DNF,0
NC,36,Silvio  Moser MOS,Brabham Ford,9,DNF,0
NC,28,Jack BrabhamBRA,Brabham Ford,6,DNF,0
NC,6,John   MilesMIL,Lotus Ford,3,DNF,0
