Pos,No,Driver,Car,Laps,Time/retired,Pts
1,7,Jackie StewartSTE,Matra Ford,80,1:50:39.100,9
2,1,Graham HillHIL,Lotus Ford,80,+18.800s,6
3,5,Denny HulmeHUL,McLaren Ford,80,+31.800s,4
4,4,Jo SiffertSIF,Lotus Ford,80,+49.200s,3
5,6,Bruce McLarenMCL,McLaren Ford,79,+1 lap,2
6,8,Jean-Pierre BeltoiseBEL,Matra Ford,78,+2 laps,1
7,11,Jackie OliverOLI,BRM,77,+3 laps,0
8,17,Sam TingleTIN,Brabham Repco,73,+7 laps,0
NC,19,Peter de KlerkDEK,Brabham Repco,67,+13 laps,0
NC,2,Jochen RindtRIN,Lotus Ford,44,DNF,0
NC,10,John SurteesSUR,BRM,40,DNF,0
NC,12,Pedro RodriguezROD,BRM,38,DNF,0
NC,9,Chris AmonAMO,Ferrari,34,DNF,0
NC,14,Jack BrabhamBRA,Brabham Ford,32,DNF,0
NC,3,Mario AndrettiAND,Lotus Ford,31,DNF,0
NC,16,John LoveLOV,Lotus Ford,31,DNF,0
NC,15,Jacky IckxICK,Brabham Ford,20,DNF,0
NC,18,Basil van Rooyen VAN,McLaren Ford,12,DNF,0
