Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Graham HillHIL,Lotus Ford,80,1:56:59.400,9
2,16,Piers   CourageCOU,Brabham Ford,80,+17.300s,6
3,9,Jo SiffertSIF,Lotus Ford,80,+34.600s,4
4,2,Richard AttwoodATT,Lotus Ford,80,+52.900s,3
5,4,Bruce McLarenMCL,McLaren Ford,79,+1 lap,2
6,3,Denny HulmeHUL,McLaren Ford,78,+2 laps,1
7,12,Vic  Elford ELF,Cooper Maserati,74,+6 laps,0
NC,6,Jacky IckxICK,Brabham Ford,48,DNF,0
NC,7,Jackie StewartSTE,Matra Ford,22,DNF,0
NC,8,Jean-Pierre BeltoiseBEL,Matra Ford,20,DNF,0
NC,11,Chris AmonAMO,Ferrari,16,DNF,0
NC,10,Pedro RodriguezROD,BRM,15,DNF,0
NC,17,Silvio  Moser MOS,Brabham Ford,15,DNF,0
NC,14,John SurteesSUR,BRM,9,DNF,0
NC,5,Jack BrabhamBRA,Brabham Ford,9,DNF,0
NC,15,Jackie OliverOLI,BRM,0,DNF,0
