Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,19,Mika SaloSAL,Tyrrell Yamaha,15,14:24:48,3:29.116,3:29.116
1,21,Tarso MarquesMAR,Minardi Ford,16,14:25:23,28.593,28.593
1,23,Andrea MonterminiMON,Forti Ford,17,14:27:32,27.067,27.067
1,15,Heinz-Harald FrentzenFRE,Sauber Ford,20,14:31:14,24.836,24.836
1,1,Michael SchumacherMSC,Ferrari,21,14:32:05,24.645,24.645
1,17,Jos VerstappenVER,Footwork Hart,21,14:32:46,28.863,28.863
1,18,Ukyo KatayamaKAT,Tyrrell Yamaha,21,14:32:58,27.092,27.092
1,3,Jean AlesiALE,Benetton Renault,22,14:33:37,24.309,24.309
1,14,Johnny HerbertHER,Sauber Ford,22,14:34:36,25.728,25.728
1,22,Luca BadoerBAD,Forti Ford,22,14:35:43,29.711,29.711
1,5,Damon HillHIL,Williams Renault,24,14:36:31,27.091,27.091
1,4,Gerhard BergerBER,Benetton Renault,24,14:36:43,25.572,25.572
1,16,Ricardo RossetROS,Footwork Hart,23,14:36:47,28.495,28.495
1,6,Jacques VilleneuveVIL,Williams Renault,25,14:38:31,29.759,29.759
1,8,David CoulthardCOU,McLaren Mercedes,26,14:40:22,25.714,25.714
1,2,Eddie IrvineIRV,Ferrari,26,14:40:26,25.400,25.400
1,11,Rubens BarrichelloBAR,Jordan Peugeot,28,14:43:42,34.984,34.984
2,19,Mika SaloSAL,Tyrrell Yamaha,25,14:43:51,32.543,4:01.659
1,9,Olivier PanisPAN,Ligier Mugen Honda,28,14:44:12,29.067,29.067
3,19,Mika SaloSAL,Tyrrell Yamaha,26,14:45:59,14:11.244,18:12.903
1,10,Pedro DinizDIN,Ligier Mugen Honda,29,14:46:06,49.885,49.885
2,23,Andrea MonterminiMON,Forti Ford,30,14:47:49,30.506,57.573
1,12,Martin BrundleBRU,Jordan Peugeot,31,14:47:51,34.030,34.030
2,9,Olivier PanisPAN,Ligier Mugen Honda,31,14:51:07,26.855,55.922
1,20,Pedro LamyLAM,Minardi Ford,39,15:05:14,30.206,30.206
2,1,Michael SchumacherMSC,Ferrari,40,15:06:04,29.269,53.914
2,3,Jean AlesiALE,Benetton Renault,44,15:12:02,41.887,1:06.196
2,17,Jos VerstappenVER,Footwork Hart,45,15:14:02,26.724,55.587
2,4,Gerhard BergerBER,Benetton Renault,47,15:16:40,25.888,51.460
2,2,Eddie IrvineIRV,Ferrari,47,15:17:05,27.296,52.696
2,6,Jacques VilleneuveVIL,Williams Renault,49,15:19:43,25.728,55.487
2,14,Johnny HerbertHER,Sauber Ford,49,15:20:24,26.058,51.786
2,8,David CoulthardCOU,McLaren Mercedes,50,15:21:41,24.067,49.781
2,5,Damon HillHIL,Williams Renault,51,15:22:32,25.308,52.399
3,23,Andrea MonterminiMON,Forti Ford,51,15:26:11,28.251,1:25.824
3,4,Gerhard BergerBER,Benetton Renault,56,15:30:43,24.507,1:15.967
