Pos,No,Driver,Car,Time,Gap,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:21.686,,7
2,1,Michael SchumacherMSC,Ferrari,1:21.842,+0.156s,10
3,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:21.980,+0.294s,7
4,17,Ralf SchumacherRSC,Toyota,1:22.712,+1.026s,10
5,5,Fernando AlonsoALO,Renault,1:22.798,+1.112s,8
6,16,Jarno TrulliTRU,Toyota,1:22.888,+1.202s,10
7,8,Nick HeidfeldHEI,Williams BMW,1:23.167,+1.481s,6
8,2,Rubens BarrichelloBAR,Ferrari,1:23.583,+1.897s,4
9,7,Mark WebberWEB,Williams BMW,1:23.678,+1.992s,7
10,12,Felipe MassaMAS,Sauber Petronas,1:23.715,+2.029s,10
11,3,Jenson ButtonBUT,BAR Honda,1:23.902,+2.216s,6
12,14,David CoulthardCOU,RBR Cosworth,1:23.932,+2.246s,7
13,15,Christian KlienKLI,RBR Cosworth,1:24.006,+2.320s,7
14,4,Takuma SatoSAT,BAR Honda,1:24.070,+2.384s,11
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:24.078,+2.392s,11
16,6,Giancarlo FisichellaFIS,Renault,1:24.200,+2.514s,6
17,20,Robert DoornbosDOO,Minardi Cosworth,1:25.691,+4.005s,11
18,19,Narain KarthikeyanKAR,Jordan Toyota,1:25.721,+4.035s,10
19,21,Christijan AlbersALB,Minardi Cosworth,1:25.947,+4.261s,11
20,18,Tiago MonteiroMON,Jordan Toyota,1:26.600,+4.914s,12
