Pos,No,Driver,Car,Time,Gap,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:48.125,,7
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:48.516,+0.391s,9
3,6,Giancarlo FisichellaFIS,Renault,1:48.883,+0.758s,8
4,5,Fernando AlonsoALO,Renault,1:49.286,+1.161s,7
5,1,Michael SchumacherMSC,Ferrari,1:49.520,+1.395s,11
6,3,Jenson ButtonBUT,BAR Honda,1:49.780,+1.655s,8
7,7,Mark WebberWEB,Williams BMW,1:50.066,+1.941s,5
8,14,David CoulthardCOU,RBR Cosworth,1:50.139,+2.014s,14
9,17,Ralf SchumacherRSC,Toyota,1:50.403,+2.278s,8
10,8,Antonio PizzoniaPIZ,Williams BMW,1:50.449,+2.324s,9
11,16,Jarno TrulliTRU,Toyota,1:50.451,+2.326s,9
12,4,Takuma SatoSAT,BAR Honda,1:50.750,+2.625s,10
13,12,Felipe MassaMAS,Sauber Petronas,1:50.877,+2.752s,8
14,15,Christian KlienKLI,RBR Cosworth,1:50.907,+2.782s,14
15,11,Jacques VilleneuveVIL,Sauber Petronas,1:51.655,+3.530s,8
16,18,Tiago MonteiroMON,Jordan Toyota,1:51.953,+3.828s,9
17,21,Christijan AlbersALB,Minardi Cosworth,1:53.250,+5.125s,8
18,20,Robert DoornbosDOO,Minardi Cosworth,1:53.278,+5.153s,8
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:53.480,+5.355s,5
20,2,Rubens BarrichelloBAR,Ferrari,,,1
