Pos,No,Driver,Car,Time,Gap,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:34.253,,6
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:34.446,+0.193s,6
3,6,Giancarlo FisichellaFIS,Renault,1:34.472,+0.219s,8
4,5,Fernando AlonsoALO,Renault,1:34.631,+0.378s,4
5,7,Mark WebberWEB,Williams BMW,1:34.749,+0.496s,12
6,3,Jenson ButtonBUT,BAR Honda,1:35.004,+0.751s,6
7,14,David CoulthardCOU,RBR Cosworth,1:35.296,+1.043s,9
8,4,Takuma SatoSAT,BAR Honda,1:35.461,+1.208s,9
9,12,Felipe MassaMAS,Sauber Petronas,1:35.532,+1.279s,8
10,8,Antonio PizzoniaPIZ,Williams BMW,1:35.675,+1.422s,13
11,1,Michael SchumacherMSC,Ferrari,1:35.981,+1.728s,10
12,11,Jacques VilleneuveVIL,Sauber Petronas,1:35.982,+1.729s,8
13,2,Rubens BarrichelloBAR,Ferrari,1:35.994,+1.741s,10
14,16,Jarno TrulliTRU,Toyota,1:36.100,+1.847s,13
15,17,Ralf SchumacherRSC,Toyota,1:36.251,+1.998s,10
16,18,Tiago MonteiroMON,Jordan Toyota,1:37.555,+3.302s,6
17,19,Narain KarthikeyanKAR,Jordan Toyota,1:37.563,+3.310s,10
18,20,Robert DoornbosDOO,Minardi Cosworth,1:38.072,+3.819s,6
19,21,Christijan AlbersALB,Minardi Cosworth,1:38.697,+4.444s,10
