Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:20.974,10
2,1,Mika HakkinenHAK,McLaren Mercedes,1:21.052,11
3,4,Rubens BarrichelloBAR,Ferrari,1:21.416,11
4,2,David CoulthardCOU,McLaren Mercedes,1:21.422,11
5,9,Ralf SchumacherRSC,Williams BMW,1:21.605,12
6,22,Jacques VilleneuveVIL,BAR Honda,1:21.963,12
7,6,Jarno TrulliTRU,Jordan Mugen Honda,1:22.006,12
8,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.135,12
9,18,Pedro de la RosaDLR,Arrows Supertec,1:22.185,12
10,7,Eddie IrvineIRV,Jaguar Cosworth,1:22.370,11
11,10,Jenson ButtonBUT,Williams BMW,1:22.385,12
12,19,Jos VerstappenVER,Arrows Supertec,1:22.421,12
13,17,Mika SaloSAL,Sauber Petronas,1:22.443,12
14,11,Giancarlo FisichellaFIS,Benetton Playlife,1:22.569,11
15,8,Johnny HerbertHER,Jaguar Cosworth,1:22.781,12
16,16,Pedro DinizDIN,Sauber Petronas,1:22.841,12
17,23,Ricardo ZontaZON,BAR Honda,1:22.882,12
18,14,Jean AlesiALE,Prost Peugeot,1:22.894,6
19,12,Alexander WurzWUR,Benetton Playlife,1:23.010,12
20,15,Nick HeidfeldHEI,Prost Peugeot,1:23.033,10
21,20,Marc GeneGEN,Minardi Fondmetal,1:23.486,11
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:24.257,12
