Pos,No,Driver,Car,Time,Laps
1,4,Rubens BarrichelloBAR,Ferrari,1:25.703,11
2,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:25.706,10
3,1,Mika HakkinenHAK,McLaren Mercedes,1:25.741,11
4,2,David CoulthardCOU,McLaren Mercedes,1:26.088,12
5,3,Michael SchumacherMSC,Ferrari,1:26.161,10
6,10,Jenson ButtonBUT,Williams BMW,1:26.733,12
7,9,Ralf SchumacherRSC,Williams BMW,1:26.786,12
8,19,Jos VerstappenVER,Arrows Supertec,1:26.793,10
9,7,Eddie IrvineIRV,Jaguar Cosworth,1:26.818,11
10,22,Jacques VilleneuveVIL,BAR Honda,1:27.025,11
11,6,Jarno TrulliTRU,Jordan Mugen Honda,1:27.164,11
12,11,Giancarlo FisichellaFIS,Benetton Playlife,1:27.253,12
13,16,Pedro DinizDIN,Sauber Petronas,1:27.301,12
14,8,Johnny HerbertHER,Jaguar Cosworth,1:27.461,12
15,14,Jean AlesiALE,Prost Peugeot,1:27.559,12
16,23,Ricardo ZontaZON,BAR Honda,1:27.772,12
17,15,Nick HeidfeldHEI,Prost Peugeot,1:27.806,12
18,17,Mika SaloSAL,Sauber Petronas,1:28.110,12
19,18,Pedro de la RosaDLR,Arrows Supertec,1:28.135,12
20,12,Alexander WurzWUR,Benetton Playlife,1:28.205,11
21,20,Marc GeneGEN,Minardi Fondmetal,1:28.253,12
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:29.174,12
