Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:15.632,8
2,2,David CoulthardCOU,McLaren Mercedes,1:15.734,10
3,4,Rubens BarrichelloBAR,Ferrari,1:16.047,12
4,1,Mika HakkinenHAK,McLaren Mercedes,1:16.050,12
5,9,Ralf SchumacherRSC,Williams BMW,1:16.291,12
6,7,Eddie IrvineIRV,Jaguar Cosworth,1:16.399,12
7,22,Jacques VilleneuveVIL,BAR Honda,1:16.653,11
8,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:16.658,12
9,6,Jarno TrulliTRU,Jordan Mugen Honda,1:16.669,11
10,10,Jenson ButtonBUT,Williams BMW,1:16.905,11
11,8,Johnny HerbertHER,Jaguar Cosworth,1:17.176,12
12,17,Mika SaloSAL,Sauber Petronas,1:17.223,12
13,18,Pedro de la RosaDLR,Arrows Supertec,1:17.279,10
14,11,Giancarlo FisichellaFIS,Benetton Playlife,1:17.317,12
15,16,Pedro DinizDIN,Sauber Petronas,1:17.361,12
16,15,Nick HeidfeldHEI,Prost Peugeot,1:17.374,12
17,12,Alexander WurzWUR,Benetton Playlife,1:17.408,12
18,14,Jean AlesiALE,Prost Peugeot,1:17.569,12
19,23,Ricardo ZontaZON,BAR Honda,1:17.668,10
20,19,Jos VerstappenVER,Arrows Supertec,1:17.933,12
21,20,Marc GeneGEN,Minardi Fondmetal,1:18.130,11
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:18.302,12
