Pos,No,Driver,Car,Time,Laps
1,2,David CoulthardCOU,McLaren Mercedes,1:17.529,8
2,3,Michael SchumacherMSC,Ferrari,1:17.667,8
3,1,Mika HakkinenHAK,McLaren Mercedes,1:17.785,9
4,4,Rubens BarrichelloBAR,Ferrari,1:18.227,9
5,9,Ralf SchumacherRSC,Williams BMW,1:18.515,9
6,6,Jarno TrulliTRU,Jordan Mugen Honda,1:18.612,9
7,11,Giancarlo FisichellaFIS,Benetton Playlife,1:18.697,8
8,7,Eddie IrvineIRV,Jaguar Cosworth,1:18.703,9
9,22,Jacques VilleneuveVIL,BAR Honda,1:18.742,9
10,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:18.830,8
11,10,Jenson ButtonBUT,Williams BMW,1:18.887,11
12,18,Pedro de la RosaDLR,Arrows Supertec,1:19.024,11
13,19,Jos VerstappenVER,Arrows Supertec,1:19.190,12
14,12,Alexander WurzWUR,Benetton Playlife,1:19.378,10
15,16,Pedro DinizDIN,Sauber Petronas,1:19.422,11
16,8,Johnny HerbertHER,Jaguar Cosworth,1:19.638,9
17,14,Jean AlesiALE,Prost Peugeot,1:19.651,7
18,23,Ricardo ZontaZON,BAR Honda,1:19.766,8
19,17,Mika SaloSAL,Sauber Petronas,1:19.814,10
20,20,Marc GeneGEN,Minardi Fondmetal,1:20.162,11
21,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:21.015,11
